,Id,Title,Body,RatingsSentiCR,RatingsGPT35,RatingsGPTFineTuned,merged,topic
0,4083920,"SQL/Knime - Transpose Table with ""Group By""","The title is horrible but that's the best I could do.  What I have is something like this:

Country  Tag    Weight
-----------------------
1        1      20
1        2      30
1        3      77
2        1      10
2        2      11
2        3      100


Or, in a human readable form:

Country  Tag    Weight
-----------------------
USA      Rock   20
USA      Pop    30
USA      Metal  77
Spain    Rock   10
Spain    Pop    11
Spain    Metal  100


Using either SQL (to create a view) or Data Manipulation Tools in Knime, I need to manipulate the data into this form:

Country  Rock   Pop   Metal
----------------------------
USA      20     30    77
Spain    10     11    100


Essentially, Tag entries (unique ones) become the columns and countries (unique ones) become the row id's with the weight values sticking with their country/tag.

I've tried everything I can think of in Knime and no raw SQL query springs to mind.  In Knime, I successfully created the structure of the matrix I want (Country x Tag), but I have no idea how to populate the actual Weight values, they're all question marks.  My working solution is to simply output the data into a CSV file in the form I want instead of into the database.  But that's klunky and annoying to keep in sync.  Any ideas?
",1,1,-1.0,"The title is horrible but that's the best I could do.  What I have is something like this:

Country  Tag    Weight
-----------------------
1        1      20
1        2      30
1        3      77
2        1      10
2        2      11
2        3      100


Or, in a human readable form:

Country  Tag    Weight
-----------------------
USA      Rock   20
USA      Pop    30
USA      Metal  77
Spain    Rock   10
Spain    Pop    11
Spain    Metal  100


Using either SQL (to create a view) or Data Manipulation Tools in Knime, I need to manipulate the data into this form:

Country  Rock   Pop   Metal
----------------------------
USA      20     30    77
Spain    10     11    100


Essentially, Tag entries (unique ones) become the columns and countries (unique ones) become the row id's with the weight values sticking with their country/tag.

I've tried everything I can think of in Knime and no raw SQL query springs to mind.  In Knime, I successfully created the structure of the matrix I want (Country x Tag), but I have no idea how to populate the actual Weight values, they're all question marks.  My working solution is to simply output the data into a CSV file in the form I want instead of into the database.  But that's klunky and annoying to keep in sync.  Any ideas?
",3
1,9566615,Java 1.6.0_26 on Mac OS X Lion,"A third party application I'm using (Knime) hangs when using Java for Mac 1.6.0_29 (Java for OS X Lion Update 1). In the user forums of that app, it is recommended to use version 1.6.0_26. 

Sadly, I got a fresh install, so there are no previous Java versions installed in my computer to downgrade to.

I've been looking for a while and still cannot find out how to install a previous version of Java for Mac OS X Lion.

Any ideas?
",-1,-1,-1.0,"A third party application I'm using (Knime) hangs when using Java for Mac 1.6.0_29 (Java for OS X Lion Update 1). In the user forums of that app, it is recommended to use version 1.6.0_26. 

Sadly, I got a fresh install, so there are no previous Java versions installed in my computer to downgrade to.

I've been looking for a while and still cannot find out how to install a previous version of Java for Mac OS X Lion.

Any ideas?
",3
2,15362404,Suppressing Applet Alert in a eclipse extension plugin that uses jersey,"I have written a REST client plugin for KNIME (a software that is based on eclipse). I have used jersey as library.

Everything works fine. However, if I send an client request a APPLET ALERT dialog pops up asking me whether I want to allow, disallow or stop the applet. This dialog get quite annoying, especially if you want to submit multiple requests. 
How do I get rid of it?

All I have found so far, referred to anti-virus software adding stuff to .jar file during download, adjusting the arguments of a maven server and ant builds. However, I have created this plugin on my machine and I am running the target REST server locally (it is based on python).

Ideally I would like to know how to suppress this plugin in my code or plugin settings or via the preferences. If thats not possible I would need a workaround that can also be explained to user outside of our company, since the plugin is going to be published. 

The dialog is created by the code line


  client.handle(request)


with client being a jersey Client and request being a jersey ClientRequest.

The console output is 

   -- PolicyProps uninitialized on access of 'jscan.session.policyname
   -- PolicyProps uninitialized on access of 'jscan.session.origin_uri'
   -- PolicyProps uninitialized on access of 'misc.no_user_interaction'
   -- PolicyProps uninitialized on access of 'misc.prompt_user'
   -- PolicyProps uninitialized on access of 'misc.notify_user'
   -- PolicyProps uninitialized on access of 'misc.max_offense_cnt'
   -- PolicyProps uninitialized on access of 'misc.strict_enforcement'
   -- PolicyProps uninitialized on access of 'jscan.session.origin_uri'
   -- PolicyProps uninitialized on access of 'net.bind_enable'
   -- PolicyProps uninitialized on access of 'net.connect_src'
   -- PolicyProps uninitialized on access of 'net.connect_other'
   -- PolicyProps uninitialized on access of 'net.connect_in_dom_list'
   Msgs: Failed to find localized message for key ""instr.action.connect"" - using default English form
   Msgs: Failed to find localized message for key ""instr.msg.dialog.action_warning_start"" - using default English form
   --&gt;&gt; returning Frame NULL
   Msgs: Failed to find localized message for key ""instr.dialog.title.applet_alert"" - using default English form
   Msgs: Failed to find localized message for key ""instr.button.allow"" - using default English form
   Msgs: Failed to find localized message for key ""instr.button.disallow"" - using default English form
   Msgs: Failed to find localized message for key ""instr.button.stop_applet"" - using default English form
   BaseDialog: owner frame is a java.awt.Frame

",-1,-1,-1.0,"I have written a REST client plugin for KNIME (a software that is based on eclipse). I have used jersey as library.

Everything works fine. However, if I send an client request a APPLET ALERT dialog pops up asking me whether I want to allow, disallow or stop the applet. This dialog get quite annoying, especially if you want to submit multiple requests. 
How do I get rid of it?

All I have found so far, referred to anti-virus software adding stuff to .jar file during download, adjusting the arguments of a maven server and ant builds. However, I have created this plugin on my machine and I am running the target REST server locally (it is based on python).

Ideally I would like to know how to suppress this plugin in my code or plugin settings or via the preferences. If thats not possible I would need a workaround that can also be explained to user outside of our company, since the plugin is going to be published. 

The dialog is created by the code line


  client.handle(request)


with client being a jersey Client and request being a jersey ClientRequest.

The console output is 

   -- PolicyProps uninitialized on access of 'jscan.session.policyname
   -- PolicyProps uninitialized on access of 'jscan.session.origin_uri'
   -- PolicyProps uninitialized on access of 'misc.no_user_interaction'
   -- PolicyProps uninitialized on access of 'misc.prompt_user'
   -- PolicyProps uninitialized on access of 'misc.notify_user'
   -- PolicyProps uninitialized on access of 'misc.max_offense_cnt'
   -- PolicyProps uninitialized on access of 'misc.strict_enforcement'
   -- PolicyProps uninitialized on access of 'jscan.session.origin_uri'
   -- PolicyProps uninitialized on access of 'net.bind_enable'
   -- PolicyProps uninitialized on access of 'net.connect_src'
   -- PolicyProps uninitialized on access of 'net.connect_other'
   -- PolicyProps uninitialized on access of 'net.connect_in_dom_list'
   Msgs: Failed to find localized message for key ""instr.action.connect"" - using default English form
   Msgs: Failed to find localized message for key ""instr.msg.dialog.action_warning_start"" - using default English form
   --&gt;&gt; returning Frame NULL
   Msgs: Failed to find localized message for key ""instr.dialog.title.applet_alert"" - using default English form
   Msgs: Failed to find localized message for key ""instr.button.allow"" - using default English form
   Msgs: Failed to find localized message for key ""instr.button.disallow"" - using default English form
   Msgs: Failed to find localized message for key ""instr.button.stop_applet"" - using default English form
   BaseDialog: owner frame is a java.awt.Frame

",1
3,22165016,NULLPointerException while using KNIME,"I am trying to perform some simple text analysis using KNIME. My process begins by using a normal 'XLS reader' or a 'text reader', followed by 'row filter' which executes fine. This step is followed by 'Strings to document' to convert every string into a document. Following this step, no steps execute. I have tried using 'POS Tagger', 'BoW Creator', 'Row Filter', 'Number Filter' etc, but each one of these gives me a 'NULLPointerException'. Why is this the case? 
My input document is a text file with about 300,000 rows coming from the database. I have checked that none of the rows in the file is NULL. 
How can I get rid of this error? 
Any help would be highly appreciated. 
",-1,-1,-1.0,"I am trying to perform some simple text analysis using KNIME. My process begins by using a normal 'XLS reader' or a 'text reader', followed by 'row filter' which executes fine. This step is followed by 'Strings to document' to convert every string into a document. Following this step, no steps execute. I have tried using 'POS Tagger', 'BoW Creator', 'Row Filter', 'Number Filter' etc, but each one of these gives me a 'NULLPointerException'. Why is this the case? 
My input document is a text file with about 300,000 rows coming from the database. I have checked that none of the rows in the file is NULL. 
How can I get rid of this error? 
Any help would be highly appreciated. 
",0
4,22018638,Creating a boxplot from two tables in KNIME,"I am trying to plot two data columns coming from different tables using KNIME. I want to plot them in a single plot in order to be easier to compare them. In R this effect can be achieved by the following:

boxplot(df$Delay, df2$Delay,names=c(""Column from Table1"",""Column from Table2""), outline=FALSE)


However, by using KNIME, I cannot think of a way that you can use data coming from two different tables. Have you ever faced this issue in KNIME?
",-1,-1,-1.0,"I am trying to plot two data columns coming from different tables using KNIME. I want to plot them in a single plot in order to be easier to compare them. In R this effect can be achieved by the following:

boxplot(df$Delay, df2$Delay,names=c(""Column from Table1"",""Column from Table2""), outline=FALSE)


However, by using KNIME, I cannot think of a way that you can use data coming from two different tables. Have you ever faced this issue in KNIME?
",0
5,20241859,Knime too slow - performance,"I just started to use KNIME and it suppose managed a huge mount of data, but isn't, it's slow and often not response. I'll manage more data than that I'm using now, What am I doing wrong?.
I set in my configuration file ""knime.ini"":

-XX:MaxPermSize=1024m
-Xmx2048m


I also read data from a database node (millions of rows) but I can't limit it by SQL (I don't really mind, I need this data).

SELECT * FROM foo LIMIT 1000


error:

WARN     Database Reader     com.mysql.jdbc.exceptions.jdbc4.MySQLSyntaxErrorException: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'LIMIT 0' at line 1

",-1,-1,-1.0,"I just started to use KNIME and it suppose managed a huge mount of data, but isn't, it's slow and often not response. I'll manage more data than that I'm using now, What am I doing wrong?.
I set in my configuration file ""knime.ini"":

-XX:MaxPermSize=1024m
-Xmx2048m


I also read data from a database node (millions of rows) but I can't limit it by SQL (I don't really mind, I need this data).

SELECT * FROM foo LIMIT 1000


error:

WARN     Database Reader     com.mysql.jdbc.exceptions.jdbc4.MySQLSyntaxErrorException: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'LIMIT 0' at line 1

",0
6,23680003,KNIME manually modify node settings,"I have a wide table filled with ID numbers (starting with a variable number of zeros) and I want to import it into KNIME but the columns are automatically detected as Integer. I tried to manually modify the settings.xml file corresponding to the import node in order to enforce a String type import without spending my afternoon clicking on each column, every time I get a new file. The entry is now:

&lt;entry key=""cell_class"" type=""xstring"" value=""org.knime.core.data.def.StringCell""/&gt;


I get an error when re-opening the workflow. So I also modified the MissValuePattern entry to:

&lt;entry key=""MissValuePattern"" type=""xstring"" value=""?""/&gt;


Still getting an error when re-opening the workflow. I don't see any difference between a string and an integer column so I'm a bit stuck.
",-1,-1,-1.0,"I have a wide table filled with ID numbers (starting with a variable number of zeros) and I want to import it into KNIME but the columns are automatically detected as Integer. I tried to manually modify the settings.xml file corresponding to the import node in order to enforce a String type import without spending my afternoon clicking on each column, every time I get a new file. The entry is now:

&lt;entry key=""cell_class"" type=""xstring"" value=""org.knime.core.data.def.StringCell""/&gt;


I get an error when re-opening the workflow. So I also modified the MissValuePattern entry to:

&lt;entry key=""MissValuePattern"" type=""xstring"" value=""?""/&gt;


Still getting an error when re-opening the workflow. I don't see any difference between a string and an integer column so I'm a bit stuck.
",3
7,24117876,Connecting to HBase in KNIME,"I am using KNIME 2.9.4 and I have HBase installed (version - 0.94.8) in a remote Linux server. With the host IP, I am trying to connect to HBase.

Here is what I did.

Added the ""hbase-0.94.8.jar"" in the preferences page and the Database driver org.apache.hadoop.hbase.jdbc.Driver is loaded properly.

Now, the question is what to keep in the database URL. I kept 10.207.5.21:2181 as 10.207.5.21 is my remote ip and 2181 is the zookeeper port.

I am getting the below error:

Error during fetching metadata from database, reason: org.knime.core.node.InvalidSettingsException: Driver org.apache.hadoop.hbase.jdbc.Driver does not accept URL: 10.207.5.21:2181

Can someone please let me know, what would have gone wrong here.

Thanks in advance
",-1,-1,-1.0,"I am using KNIME 2.9.4 and I have HBase installed (version - 0.94.8) in a remote Linux server. With the host IP, I am trying to connect to HBase.

Here is what I did.

Added the ""hbase-0.94.8.jar"" in the preferences page and the Database driver org.apache.hadoop.hbase.jdbc.Driver is loaded properly.

Now, the question is what to keep in the database URL. I kept 10.207.5.21:2181 as 10.207.5.21 is my remote ip and 2181 is the zookeeper port.

I am getting the below error:

Error during fetching metadata from database, reason: org.knime.core.node.InvalidSettingsException: Driver org.apache.hadoop.hbase.jdbc.Driver does not accept URL: 10.207.5.21:2181

Can someone please let me know, what would have gone wrong here.

Thanks in advance
",0
8,24179285,How to use linked resources / path variables in KNIME,"When working with KNIME for testing and learning, we generally use a folder structure like

MyProject/
    MyKNIMEWorkspace/
    MyKNIMEDataFolder/


on each computer. Everyone is free to write their own workflows, don't have to share them, etc. But we want to be able to send each other workflows where we don't need to change the paths to the data folder manually, if everyone follows the given structure, i.e. always looking one level higher and find the folder MyKNIMEDataFolder and take file xyz.table.

I have played with path variables (basically fixed for each installation), with workflow variables and with flow variables (being sent around when sending the workflows), tried to connect both with the syntax from the help documentation on path variables (i.e. ${VAR}) but I cannot find the proper way to fully disconnect my workflow from my local path.


Do you see anything wrong with our structure?
How would you deal with the problem of sending workflows around?

",1,0,-1.0,"When working with KNIME for testing and learning, we generally use a folder structure like

MyProject/
    MyKNIMEWorkspace/
    MyKNIMEDataFolder/


on each computer. Everyone is free to write their own workflows, don't have to share them, etc. But we want to be able to send each other workflows where we don't need to change the paths to the data folder manually, if everyone follows the given structure, i.e. always looking one level higher and find the folder MyKNIMEDataFolder and take file xyz.table.

I have played with path variables (basically fixed for each installation), with workflow variables and with flow variables (being sent around when sending the workflows), tried to connect both with the syntax from the help documentation on path variables (i.e. ${VAR}) but I cannot find the proper way to fully disconnect my workflow from my local path.


Do you see anything wrong with our structure?
How would you deal with the problem of sending workflows around?

",4
9,25198157,KNIME R integration - Package installation,"I am a relatively new user to KNIME. I have been trying to install the 'gWidgetsRGtk2' package through the R snippet, but it keeps throwing me an error when i try to load it. 

if(require(""gWidgetsRGtk2"")){
  print(""gWidgetsRGtk2 is loaded correctly"")
}else{
  print(""Trying to install gWidgetsRGtk2"")
  install.packages(""gWidgets"",dependencies=TRUE)

options(""guiToolkit""=""RGtk2"")


I have tried changing the R path in the global preferences, and also tried adding this package directly into the KNIME-R folder.

None of these methods seem to work. Can anyone suggest a way out?
",-1,-1,-1.0,"I am a relatively new user to KNIME. I have been trying to install the 'gWidgetsRGtk2' package through the R snippet, but it keeps throwing me an error when i try to load it. 

if(require(""gWidgetsRGtk2"")){
  print(""gWidgetsRGtk2 is loaded correctly"")
}else{
  print(""Trying to install gWidgetsRGtk2"")
  install.packages(""gWidgets"",dependencies=TRUE)

options(""guiToolkit""=""RGtk2"")


I have tried changing the R path in the global preferences, and also tried adding this package directly into the KNIME-R folder.

None of these methods seem to work. Can anyone suggest a way out?
",3
