,Id,Title,Body,RatingsSentiCR,RatingsGPT35,RatingsGPTFineTuned,merged,topic
0,10087647,monetdb - anyone uses it in production?,"I am very interested in using monetdb as a datamart, holding some huge data tables for querying and reporting

However, after some searching, I am unable to find any online posts / blogs regarding their use of Monetdb in any kind of production capacity.

Also, there seems to be little or next to no activity online regarding Monetdb.

Is this a bad sign for the future of Monetdb ?
",1,-1,-1.0,"monetdb - anyone uses it in production?-I am very interested in using monetdb as a datamart, holding some huge data tables for querying and reporting

However, after some searching, I am unable to find any online posts / blogs regarding their use of Monetdb in any kind of production capacity.

Also, there seems to be little or next to no activity online regarding Monetdb.

Is this a bad sign for the future of Monetdb ?
",5
1,10860452,How to discover the columns for a given index or key in MonetDB,"MonetDB seems to support a fairly comprehensive set of system catalog views in order to discover the schema structure of the database.  Unfortunately, I can't seem to find a SQL query that will obtain the set of columns for a given key or index.  Here are the system tables/views are reported by the Tables table:

schemas
types
functions
args
sequences
dependencies
connections
_tables
_columns
keys
idxs
triggers
objects
tables
columns
db_user_info
users
user_role
auths
privileges
queryhistory
callhistory
querylog
systemfunctions

I tried dependencies, but the IDs don't seem to match up.  BTW, I did try looking in the source code, but I haven't yet found where the system views are created and maintained.
",-1,-1,-1.0,"How to discover the columns for a given index or key in MonetDB-MonetDB seems to support a fairly comprehensive set of system catalog views in order to discover the schema structure of the database.  Unfortunately, I can't seem to find a SQL query that will obtain the set of columns for a given key or index.  Here are the system tables/views are reported by the Tables table:

schemas
types
functions
args
sequences
dependencies
connections
_tables
_columns
keys
idxs
triggers
objects
tables
columns
db_user_info
users
user_role
auths
privileges
queryhistory
callhistory
querylog
systemfunctions

I tried dependencies, but the IDs don't seem to match up.  BTW, I did try looking in the source code, but I haven't yet found where the system views are created and maintained.
",4
2,11444703,Node.js and ODBC for MonetDB,"I am trying to use odbc to connect to monetDB in node.js. However, I keep getting the following error:

The driver reported the following diagnostics whilst running SQLDriverConnect

IM002:1:0:[unixODBC][Driver Manager]Data source name not found, and no default driver      specified
DEBUG: []


Here is the source code:

var sys  = require(""util"");
var odbc = require(""/home/vash/node_modules/odbc/odbc.js"");

var db = new odbc.Database();
db.open(""Driver={ODBC for MonetDB};Setup=/usr/lib/libMonetODBCs.so;UsageCount= 1;SERVER=vash-G75VW;USER=monetdb;PASSWORD=monetdb;PORT=5000;DATABASE=demo"", function(err)
{
    db.query(""select * from demo"", function(err, rows, moreResultSets)
    {
        sys.debug(sys.inspect(rows));
        db.close(function(){});
    });
});


Using the command ""isql -v monetdb"", I can connect to monetDB using ODBC with the following odbc.ini and odbcinst.ini contents:

[monetdb]
Description             = ""ODBC for MonetDB""
Driver          = /usr/lib/libMonetODBC.so
Setup           = /usr/lib/libMonetODBCs.so
UsageCount              = 1
SERVER = vash-G75VW
USER = monetdb
PASSWORD = monetdb
PORT = 5000 
DATABASE = demo


Since I connect using isql, I am guessing the problem lies in the line of code:

""Driver={ODBC for MonetDB};Setup=/usr/lib/libMonetODBCs.so;UsageCount= 1;SERVER=vash-G75VW;USER=monetdb;PASSWORD=monetdb;PORT=5000;DATABASE=demo""


Any ideas what's wrong, and do I have the connection string above set properly?
",-1,-1,-1.0,"Node.js and ODBC for MonetDB-I am trying to use odbc to connect to monetDB in node.js. However, I keep getting the following error:

The driver reported the following diagnostics whilst running SQLDriverConnect

IM002:1:0:[unixODBC][Driver Manager]Data source name not found, and no default driver      specified
DEBUG: []


Here is the source code:

var sys  = require(""util"");
var odbc = require(""/home/vash/node_modules/odbc/odbc.js"");

var db = new odbc.Database();
db.open(""Driver={ODBC for MonetDB};Setup=/usr/lib/libMonetODBCs.so;UsageCount= 1;SERVER=vash-G75VW;USER=monetdb;PASSWORD=monetdb;PORT=5000;DATABASE=demo"", function(err)
{
    db.query(""select * from demo"", function(err, rows, moreResultSets)
    {
        sys.debug(sys.inspect(rows));
        db.close(function(){});
    });
});


Using the command ""isql -v monetdb"", I can connect to monetDB using ODBC with the following odbc.ini and odbcinst.ini contents:

[monetdb]
Description             = ""ODBC for MonetDB""
Driver          = /usr/lib/libMonetODBC.so
Setup           = /usr/lib/libMonetODBCs.so
UsageCount              = 1
SERVER = vash-G75VW
USER = monetdb
PASSWORD = monetdb
PORT = 5000 
DATABASE = demo


Since I connect using isql, I am guessing the problem lies in the line of code:

""Driver={ODBC for MonetDB};Setup=/usr/lib/libMonetODBCs.so;UsageCount= 1;SERVER=vash-G75VW;USER=monetdb;PASSWORD=monetdb;PORT=5000;DATABASE=demo""


Any ideas what's wrong, and do I have the connection string above set properly?
",3
3,11517507,php_monetdb.dll,"I need the php_monetdb.dll for php 5.4. I've found that by building the monetDB with the HAVE_PHP=1 option on windows will create the dll, but the build procedure fails at numerous points. I am using the monetdb source from sourceforge which is a little outdated one. The newer version has problems in the .msc files itself so proceeding to the build itself is a pain. The older version that I am trying on is atleast passing the nmake step but failing on the nmake install step. The reasons vary from component to component. One states that the devenv  /build does not exist. For this I copied the vcexpress and renamed it to devenv. I am not sure if this is right but when I run it from the command prompt it seems to work ok with a few warning alerts shown. During other make installs, the header files seem to be missing. Could anyone please help me with this. Also please let me know if there is any other alternative for this approach of getting php_monetdb.dll.

P.S: I am using windows 7, MSVC 10 express, PHP 5.4.4
",-1,-1,-1.0,"php_monetdb.dll-I need the php_monetdb.dll for php 5.4. I've found that by building the monetDB with the HAVE_PHP=1 option on windows will create the dll, but the build procedure fails at numerous points. I am using the monetdb source from sourceforge which is a little outdated one. The newer version has problems in the .msc files itself so proceeding to the build itself is a pain. The older version that I am trying on is atleast passing the nmake step but failing on the nmake install step. The reasons vary from component to component. One states that the devenv  /build does not exist. For this I copied the vcexpress and renamed it to devenv. I am not sure if this is right but when I run it from the command prompt it seems to work ok with a few warning alerts shown. During other make installs, the header files seem to be missing. Could anyone please help me with this. Also please let me know if there is any other alternative for this approach of getting php_monetdb.dll.

P.S: I am using windows 7, MSVC 10 express, PHP 5.4.4
",3
4,12654775,"MonetDB + JDBC ""no such database""","So I'm working on getting MonetDB hooked up with JDBC but am having issues even with the basic tutorial. I'm probably doing something wrong here and maybe someone could point me in the right direction (that would be greatly appreciated!). 

So the commands I'm running are:

monetdbd start /dbfarm
monetdb create test1
monetdb release test1
java -jar /jars/jdbcclient.jar -u monetdb -d test1

password:
Database connect failed: no such database 'test1', please create first


--

This seems odd to me because I can access test1 via mclient -u monetdb -d test1.

TIA
",-1,-1,-1.0,"MonetDB + JDBC ""no such database""-So I'm working on getting MonetDB hooked up with JDBC but am having issues even with the basic tutorial. I'm probably doing something wrong here and maybe someone could point me in the right direction (that would be greatly appreciated!). 

So the commands I'm running are:

monetdbd start /dbfarm
monetdb create test1
monetdb release test1
java -jar /jars/jdbcclient.jar -u monetdb -d test1

password:
Database connect failed: no such database 'test1', please create first


--

This seems odd to me because I can access test1 via mclient -u monetdb -d test1.

TIA
",3
5,15574886,Is it possible to create a node.js module which uses c libraries for monetdb connection?,"I am trying to connect monetdb with node.js. I have a simple (20 line) c program which can query moentdb using mapi libraries.

Can I use those libraries to build something(module/addon) for node.js which uses these libraries and connect to monetdb?

(using odbc is an option but it have its own disadvantages.)

Update1 :
node-ffi is pretty awesome. I was able to create a fetch table program pretty easily. (I have added my working code for example.)

So if I have 3 options
1. ODBC
2. node-ffi
3. a c program to fetch database data and listens to connection from node.js through socket  

In terms of performance which is better option to implement, if I have little less time to develop a addon for node.js

var ffi = require(""ffi"");
var libmylibrary = ffi.Library('/usr/local/lib/libmapi.so', {
    ""mapi_connect"":[""int"",[""string"",'int',""string"",""string"",""string"",""string""]],
    ""mapi_query"":['int',[""int"",""string""]],
    ""mapi_fetch_row"":[""int"",[""int""]],
    ""mapi_fetch_field"":[""string"",[""int"",""int""]]
});


var res = libmylibrary.mapi_connect(""localhost"", 50000,""monetdb"", ""monetdb"", ""sql"", ""demo"");
console.log(res);
var ret=libmylibrary.mapi_query(res,""select * from table"");
while(libmylibrary.mapi_fetch_row(ret)){
    console.log(libmylibrary.mapi_fetch_field(ret,0));
    console.log(libmylibrary.mapi_fetch_field(ret,1));
}


Update 2:
Above code is not recommended for production use...it does not use async functionality of node.js so please use it for baby steps
",1,1,-1.0,"Is it possible to create a node.js module which uses c libraries for monetdb connection?-I am trying to connect monetdb with node.js. I have a simple (20 line) c program which can query moentdb using mapi libraries.

Can I use those libraries to build something(module/addon) for node.js which uses these libraries and connect to monetdb?

(using odbc is an option but it have its own disadvantages.)

Update1 :
node-ffi is pretty awesome. I was able to create a fetch table program pretty easily. (I have added my working code for example.)

So if I have 3 options
1. ODBC
2. node-ffi
3. a c program to fetch database data and listens to connection from node.js through socket  

In terms of performance which is better option to implement, if I have little less time to develop a addon for node.js

var ffi = require(""ffi"");
var libmylibrary = ffi.Library('/usr/local/lib/libmapi.so', {
    ""mapi_connect"":[""int"",[""string"",'int',""string"",""string"",""string"",""string""]],
    ""mapi_query"":['int',[""int"",""string""]],
    ""mapi_fetch_row"":[""int"",[""int""]],
    ""mapi_fetch_field"":[""string"",[""int"",""int""]]
});


var res = libmylibrary.mapi_connect(""localhost"", 50000,""monetdb"", ""monetdb"", ""sql"", ""demo"");
console.log(res);
var ret=libmylibrary.mapi_query(res,""select * from table"");
while(libmylibrary.mapi_fetch_row(ret)){
    console.log(libmylibrary.mapi_fetch_field(ret,0));
    console.log(libmylibrary.mapi_fetch_field(ret,1));
}


Update 2:
Above code is not recommended for production use...it does not use async functionality of node.js so please use it for baby steps
",3
6,16208576,How to convert a unix timestamp (INT) to monetdb timestamp ('YYYY-MM-DD HH:MM:SS') local time format,"Q1: I want to convert a unix timestamp (INT) to monetdb timestamp ('YYYY-MM-DD HH:MM:SS') format
but it is giving me the GMT time not my actual time.

When I do  

select (epoch(cast(current_timestamp as timestamp))-epoch(timestamp '2013-04-25 11:49:00'))


where 2013-04-25 11:49:00 is my systems current time it gives the same difference

I tried using  

set time zone interval '05:30' HOUR TO MINUTE;


but it did not change the result

How can I solve this problem??

Example Problem:
I wanted to convert unix timestamp 1366869289 which should be around ""2013-04-25 11:25:00"" but monetdb gives ""2013-04-25 05:55:00""
",-1,-1,-1.0,"How to convert a unix timestamp (INT) to monetdb timestamp ('YYYY-MM-DD HH:MM:SS') local time format-Q1: I want to convert a unix timestamp (INT) to monetdb timestamp ('YYYY-MM-DD HH:MM:SS') format
but it is giving me the GMT time not my actual time.

When I do  

select (epoch(cast(current_timestamp as timestamp))-epoch(timestamp '2013-04-25 11:49:00'))


where 2013-04-25 11:49:00 is my systems current time it gives the same difference

I tried using  

set time zone interval '05:30' HOUR TO MINUTE;


but it did not change the result

How can I solve this problem??

Example Problem:
I wanted to convert unix timestamp 1366869289 which should be around ""2013-04-25 11:25:00"" but monetdb gives ""2013-04-25 05:55:00""
",4
7,17531428,Bind variables in case statement in MonetDB,"I seem to have come across a strange restriction in using bind variables in MonetDB. If i use bind variables in the normal way by saying where field=${var} then it works. But not in this case:

Here is a sample:

select case when ${Brand} = 'All'


And here is the error:

EXEC: wrong type for argument 1 of prepared statement: char, expected char


Using the latest version of the jdbc driver (2.9) via Pentaho.
",-1,-1,-1.0,"Bind variables in case statement in MonetDB-I seem to have come across a strange restriction in using bind variables in MonetDB. If i use bind variables in the normal way by saying where field=${var} then it works. But not in this case:

Here is a sample:

select case when ${Brand} = 'All'


And here is the error:

EXEC: wrong type for argument 1 of prepared statement: char, expected char


Using the latest version of the jdbc driver (2.9) via Pentaho.
",5
8,19661538,How can I rename a table in MonetDB?,"How can I rename a table in monetdb?
The typical SQL statement ALTER TABLE name RENAME TO new_name is not supported.
",0,-1,-1.0,"How can I rename a table in MonetDB?-How can I rename a table in monetdb?
The typical SQL statement ALTER TABLE name RENAME TO new_name is not supported.
",4
9,19943079,A MonetDB User Defined Function with two double parameters,"I am trying to evaluate the performance of MonetDB for an analytical workload that contains a large amount of floating point calculations which are used in an aggregation.

I am trying to implement a C based UDF in MonetDB to achieve this and am running into an error.  I am unsure of how to implement the function correctly based on my required signature which is 

double f(double,double);


Firstly, I am using MonetDB-11.15.17 built from source on Ubuntu 13.04.

I have added to the following files in the ./sql/backends/monet5/UDF directory as shown:

udf.c:

str UDFtest(flt *ret,flt *_p1,flt *_p2)
{
    *ret = *_p1+*_p2;
    return MAL_SUCCEED;
}


udf.h:

udf_export str UDFtest(flt *,flt*,flt*);


udf.mal:

module udf;
command calc_test(one:flt,two:flt):flt
address UDFtest
comment ""udf floating point test"";


80_udf.sql:

create function calc_test(one double,two double)
returns double external name udf.calc_test;


I then ran , bootstrap; make; sudo make install; and typed the following at the mclient prompt:

declare f1 float;
declare f2 float;
set f1=0.1;
set f2=0.2;
select calc_test(f1,f2);


This results in the following error:

TypeException:user.s1_1[6]:'udf.calc_test' undefined in: _9:any := udf.calc_test(_5:dbl, _8:dbl)
program contains errors


I've tried to piece together what I can from the documentation and source but am now stuck.
Where have I gone wrong in this process?
",-1,-1,-1.0,"A MonetDB User Defined Function with two double parameters-I am trying to evaluate the performance of MonetDB for an analytical workload that contains a large amount of floating point calculations which are used in an aggregation.

I am trying to implement a C based UDF in MonetDB to achieve this and am running into an error.  I am unsure of how to implement the function correctly based on my required signature which is 

double f(double,double);


Firstly, I am using MonetDB-11.15.17 built from source on Ubuntu 13.04.

I have added to the following files in the ./sql/backends/monet5/UDF directory as shown:

udf.c:

str UDFtest(flt *ret,flt *_p1,flt *_p2)
{
    *ret = *_p1+*_p2;
    return MAL_SUCCEED;
}


udf.h:

udf_export str UDFtest(flt *,flt*,flt*);


udf.mal:

module udf;
command calc_test(one:flt,two:flt):flt
address UDFtest
comment ""udf floating point test"";


80_udf.sql:

create function calc_test(one double,two double)
returns double external name udf.calc_test;


I then ran , bootstrap; make; sudo make install; and typed the following at the mclient prompt:

declare f1 float;
declare f2 float;
set f1=0.1;
set f2=0.2;
select calc_test(f1,f2);


This results in the following error:

TypeException:user.s1_1[6]:'udf.calc_test' undefined in: _9:any := udf.calc_test(_5:dbl, _8:dbl)
program contains errors


I've tried to piece together what I can from the documentation and source but am now stuck.
Where have I gone wrong in this process?
",0
