,Id,Title,Body,RatingsSentiCR,RatingsGPT35,RatingsGPTFineTuned,merged,topic
0,3559698,how do i filter out non-numeric values in a text field in teradata?,"oI have a teradata table with about 10 million records in it, that stores a numeric id field as a varchar.  i need to transfer the values in this field to a bigint column in another table, but i can't simply say cast(id_field as bigint) because i get an invalid character error.  looking through the values, i find that there could be a character at any position in the string, so let's say the string is varchar(18) i could filter out invalid rows like so :

     where substr(id_field,1,1) not in (/*big,ugly array of non-numeric chars*/)
     and substr(id_field,2,1) not in (/*big,ugly array of non-numeric chars*/)

etc, etc... 


then the cast would work, but this is not feasible in the long run. it's slow and if the string has 18 possible characters, it makes the query unreadable.  how can i filter out rows that have a value in this field that will not cast as a bigint without checking each character individually for an array of non-numeric characters?

example values would be 

   123abc464
   a2.3v65
   a_356087
   ........
   000000000
   BOB KNIGHT
   1235468099


the values follow no specific patterns, I simply need to filter out the ones that contain ANY non-numeric data.
          123456789 is okay but 123.abc_c3865 is not...
",-1,-1,-1.0,"oI have a teradata table with about 10 million records in it, that stores a numeric id field as a varchar.  i need to transfer the values in this field to a bigint column in another table, but i can't simply say cast(id_field as bigint) because i get an invalid character error.  looking through the values, i find that there could be a character at any position in the string, so let's say the string is varchar(18) i could filter out invalid rows like so :

     where substr(id_field,1,1) not in (/*big,ugly array of non-numeric chars*/)
     and substr(id_field,2,1) not in (/*big,ugly array of non-numeric chars*/)

etc, etc... 


then the cast would work, but this is not feasible in the long run. it's slow and if the string has 18 possible characters, it makes the query unreadable.  how can i filter out rows that have a value in this field that will not cast as a bigint without checking each character individually for an array of non-numeric characters?

example values would be 

   123abc464
   a2.3v65
   a_356087
   ........
   000000000
   BOB KNIGHT
   1235468099


the values follow no specific patterns, I simply need to filter out the ones that contain ANY non-numeric data.
          123456789 is okay but 123.abc_c3865 is not...
",3
1,3598327,Problem reading special characters from teradata - JDBC,"I use teradata and the below query outputs ""Altlüd"" when run using a teradata client.

select name as name  from MYTABLE where selector=?


Whereas, I get ""Altl?d"" as the output when I try to execute the query using a java client(jdbc with teradata drivers). I am using ""UTF-8"" charset and I have also tried Latin charset with no luck.

I have also tried this to troubleshoot.

while (rs.next()) {
 System.out.println(rs.getString(1));
 Reader rd = rs.getCharacterStream(1);
 int charr = rd.read();
 while (charr &gt;= 0) {
    System.out.println(charr + "" = "" + ((char) charr));
    charr = rd.read();
 }
}


And the output is 

Altl?dersdorf
65 = A
108 = l
116 = t
108 = l
65533 = ?
100 = d

If you look at the output produced, the int value for the spl character is 65533 which shouldn't be the case. 

Infact it returns 65533 for all the special characters.

Any clues/pointers will be appreciated. Thanks!!!
",-1,-1,-1.0,"I use teradata and the below query outputs ""Altlüd"" when run using a teradata client.

select name as name  from MYTABLE where selector=?


Whereas, I get ""Altl?d"" as the output when I try to execute the query using a java client(jdbc with teradata drivers). I am using ""UTF-8"" charset and I have also tried Latin charset with no luck.

I have also tried this to troubleshoot.

while (rs.next()) {
 System.out.println(rs.getString(1));
 Reader rd = rs.getCharacterStream(1);
 int charr = rd.read();
 while (charr &gt;= 0) {
    System.out.println(charr + "" = "" + ((char) charr));
    charr = rd.read();
 }
}


And the output is 

Altl?dersdorf
65 = A
108 = l
116 = t
108 = l
65533 = ?
100 = d

If you look at the output produced, the int value for the spl character is 65533 which shouldn't be the case. 

Infact it returns 65533 for all the special characters.

Any clues/pointers will be appreciated. Thanks!!!
",3
2,4751146,Oracle XE Database link to Teradata using ODBC,"I installed Oracle Server Express 10g on my computer (WinXP). I want to create a database link to Teradata using ODBC. I've created (non-ODBC) database links to other Oracle databases successfully. However, I can't seem to get the Teradata database link to work.

Here's what I did:

1) Created an ODBC Connection in Windows to Teradata using Teradata's ODBC driver version 13. Tested that it works by connecting to the database using Teradata SQL Assistant. Called the connection LPS_PROD_VIEW. I saved my Login details in the ODBC settings.

2) Edited listener.ora 
In the SID_LIST_LISTENER section: 

(SID_DESC =
  (SID_NAME = LPS_PROD_VIEW)
  (ORACLE_HOME = C:\oraclexe\app\oracle\product\10.2.0\server)
  (PROGRAM = hsodbc)


In the LISTENER section

     (ADDRESS = (PROTOCOL = TCP)(HOST = localhost)(PORT = 1524)


3) In the ...hs\admin\ folder, added initLPS_PROD_VIEW.ora file. Contents:

HS_FDS_CONNECT_INFO = LPS_PROD_VIEW
HS_FDS_TRACE_LEVEL = ON


4) Added an entry in TNSnames.ora (both in the XE server directory and a seperate 10g directory which I had previously before installing Oracle XE).

BMW = 
  (DESCRIPTION = 
  (ADDRESS_LIST = 
  (ADDRESS = (PROTOCOL = TCP)(Host = localhost)(Port = 1524))
  )(CONNECT_DATA = 
  (SID = LPS_PROD_VIEW)(HS=OK)
  )


5) Restarted Oracle listener services through services.msc.

6) Connected to local database to create the database link by doing

Create database link TERADATA connect to &lt;username&gt; identified by &lt;password&gt; using 'LPS_PROD_VIEW' 


7) Attempt to run queries but get an ORA-12154: TNS: Could not resolve the connect identifier specified. 

What am I doing wrong? Does HS support Teradata ODBC ver 13? 

Thanks in advance and appreciate your help!
",1,-1,-1.0,"I installed Oracle Server Express 10g on my computer (WinXP). I want to create a database link to Teradata using ODBC. I've created (non-ODBC) database links to other Oracle databases successfully. However, I can't seem to get the Teradata database link to work.

Here's what I did:

1) Created an ODBC Connection in Windows to Teradata using Teradata's ODBC driver version 13. Tested that it works by connecting to the database using Teradata SQL Assistant. Called the connection LPS_PROD_VIEW. I saved my Login details in the ODBC settings.

2) Edited listener.ora 
In the SID_LIST_LISTENER section: 

(SID_DESC =
  (SID_NAME = LPS_PROD_VIEW)
  (ORACLE_HOME = C:\oraclexe\app\oracle\product\10.2.0\server)
  (PROGRAM = hsodbc)


In the LISTENER section

     (ADDRESS = (PROTOCOL = TCP)(HOST = localhost)(PORT = 1524)


3) In the ...hs\admin\ folder, added initLPS_PROD_VIEW.ora file. Contents:

HS_FDS_CONNECT_INFO = LPS_PROD_VIEW
HS_FDS_TRACE_LEVEL = ON


4) Added an entry in TNSnames.ora (both in the XE server directory and a seperate 10g directory which I had previously before installing Oracle XE).

BMW = 
  (DESCRIPTION = 
  (ADDRESS_LIST = 
  (ADDRESS = (PROTOCOL = TCP)(Host = localhost)(Port = 1524))
  )(CONNECT_DATA = 
  (SID = LPS_PROD_VIEW)(HS=OK)
  )


5) Restarted Oracle listener services through services.msc.

6) Connected to local database to create the database link by doing

Create database link TERADATA connect to &lt;username&gt; identified by &lt;password&gt; using 'LPS_PROD_VIEW' 


7) Attempt to run queries but get an ORA-12154: TNS: Could not resolve the connect identifier specified. 

What am I doing wrong? Does HS support Teradata ODBC ver 13? 

Thanks in advance and appreciate your help!
",1
3,6017422,Threads hanging permanently on JDBC Teradata requests,"I'm using JDBC to query a Teradata server. There are up to 100 simultaneous requests, each one using a fresh connection, and closing it at the end. After some hours of work, some of the threads performing the requests get stuck indefinitely. Eventually a system restart is needed.
From inspecting the call stacks, I see that the threads are in a socket read state, and that it happens when preparing a statement or when closing the connection:

Case 1:

java.lang.Thread.State: RUNNABLE
               at java.net.SocketInputStream.socketRead0(Native Method)
               at java.net.SocketInputStream.read(SocketInputStream.java:129)
               at com.teradata.jdbc.jdbc_4.io.TDNetworkIOIF.read(TDNetworkIOIF.java:649)
               at com.teradata.jdbc.jdbc_4.io.TDPacketStream.readStream(TDPacketStream.java:818)
               at com.teradata.jdbc.jdbc_4.statemachine.StatementReceiveState.action(StatementReceiveState.java:125)
               at com.teradata.jdbc.jdbc_4.statemachine.StatementController.runBody(StatementController.java:112)
               at com.teradata.jdbc.jdbc_4.statemachine.StatementController.run(StatementController.java:103)
               at com.teradata.jdbc.jdbc_4.Statement.executeStatement(Statement.java:340)
               at com.teradata.jdbc.jdbc_4.Statement.prepareRequest(Statement.java:507)
               - locked &lt;0x00002aab4f787518&gt; (a com.teradata.jdbc.jdbc_4.PreparedStatement)
               at com.teradata.jdbc.jdbc_4.PreparedStatement.&lt;init&gt;(PreparedStatement.java:66)
               at com.teradata.jdbc.jdbc_4.TDSession.createPreparedStatement(TDSession.java:723)
               at com.teradata.jdbc.jdbc_3.ifjdbc_4.TeraLocalPreparedStatement.&lt;init&gt;(TeraLocalPreparedStatement.java:89)
               at com.teradata.jdbc.jdbc_3.ifjdbc_4.TeraLocalConnection.prepareStatement(TeraLocalConnection.java:333)
               at com.teradata.jdbc.jdbc_3.ifjdbc_4.TeraLocalConnection.prepareStatement(TeraLocalConnection.java:152)
...


Case 2:

java.lang.Thread.State: RUNNABLE
               at java.net.SocketInputStream.socketRead0(Native Method)
               at java.net.SocketInputStream.read(SocketInputStream.java:129)
               at com.teradata.jdbc.jdbc_4.io.TDNetworkIOIF.read(TDNetworkIOIF.java:649)
               at com.teradata.jdbc.jdbc_4.io.TDPacketStream.readStream(TDPacketStream.java:818)
               at com.teradata.jdbc.jdbc_4.io.TDPacketStream.readStream(TDPacketStream.java:794)
               at com.teradata.jdbc.jdbc.GenericLogOffRspState.action(GenericLogOffRspState.java:66)
               at com.teradata.jdbc.jdbc.GenericLogoffController.run(GenericLogoffController.java:43)
               - locked &lt;..&gt; (a com.teradata.jdbc.jdbc_4.io.TDNetworkIOIF)
               at com.teradata.jdbc.jdbc_4.TDSession.close(TDSession.java:476)
               at com.teradata.jdbc.jdbc_3.ifjdbc_4.TeraLocalConnection.close(TeraLocalConnection.java:259)
...


I'm using the JDBC Teradata driver version 13.10.00.10.

Any idea why it happens?
This issue is very painful for us and any help will be appreciated.

Thanks!
",1,-1,-1.0,"I'm using JDBC to query a Teradata server. There are up to 100 simultaneous requests, each one using a fresh connection, and closing it at the end. After some hours of work, some of the threads performing the requests get stuck indefinitely. Eventually a system restart is needed.
From inspecting the call stacks, I see that the threads are in a socket read state, and that it happens when preparing a statement or when closing the connection:

Case 1:

java.lang.Thread.State: RUNNABLE
               at java.net.SocketInputStream.socketRead0(Native Method)
               at java.net.SocketInputStream.read(SocketInputStream.java:129)
               at com.teradata.jdbc.jdbc_4.io.TDNetworkIOIF.read(TDNetworkIOIF.java:649)
               at com.teradata.jdbc.jdbc_4.io.TDPacketStream.readStream(TDPacketStream.java:818)
               at com.teradata.jdbc.jdbc_4.statemachine.StatementReceiveState.action(StatementReceiveState.java:125)
               at com.teradata.jdbc.jdbc_4.statemachine.StatementController.runBody(StatementController.java:112)
               at com.teradata.jdbc.jdbc_4.statemachine.StatementController.run(StatementController.java:103)
               at com.teradata.jdbc.jdbc_4.Statement.executeStatement(Statement.java:340)
               at com.teradata.jdbc.jdbc_4.Statement.prepareRequest(Statement.java:507)
               - locked &lt;0x00002aab4f787518&gt; (a com.teradata.jdbc.jdbc_4.PreparedStatement)
               at com.teradata.jdbc.jdbc_4.PreparedStatement.&lt;init&gt;(PreparedStatement.java:66)
               at com.teradata.jdbc.jdbc_4.TDSession.createPreparedStatement(TDSession.java:723)
               at com.teradata.jdbc.jdbc_3.ifjdbc_4.TeraLocalPreparedStatement.&lt;init&gt;(TeraLocalPreparedStatement.java:89)
               at com.teradata.jdbc.jdbc_3.ifjdbc_4.TeraLocalConnection.prepareStatement(TeraLocalConnection.java:333)
               at com.teradata.jdbc.jdbc_3.ifjdbc_4.TeraLocalConnection.prepareStatement(TeraLocalConnection.java:152)
...


Case 2:

java.lang.Thread.State: RUNNABLE
               at java.net.SocketInputStream.socketRead0(Native Method)
               at java.net.SocketInputStream.read(SocketInputStream.java:129)
               at com.teradata.jdbc.jdbc_4.io.TDNetworkIOIF.read(TDNetworkIOIF.java:649)
               at com.teradata.jdbc.jdbc_4.io.TDPacketStream.readStream(TDPacketStream.java:818)
               at com.teradata.jdbc.jdbc_4.io.TDPacketStream.readStream(TDPacketStream.java:794)
               at com.teradata.jdbc.jdbc.GenericLogOffRspState.action(GenericLogOffRspState.java:66)
               at com.teradata.jdbc.jdbc.GenericLogoffController.run(GenericLogoffController.java:43)
               - locked &lt;..&gt; (a com.teradata.jdbc.jdbc_4.io.TDNetworkIOIF)
               at com.teradata.jdbc.jdbc_4.TDSession.close(TDSession.java:476)
               at com.teradata.jdbc.jdbc_3.ifjdbc_4.TeraLocalConnection.close(TeraLocalConnection.java:259)
...


I'm using the JDBC Teradata driver version 13.10.00.10.

Any idea why it happens?
This issue is very painful for us and any help will be appreciated.

Thanks!
",0
4,6110652,Executing teradata stored procedure from SAS,"I'm trying to execute Teradata stored procedure from SAS ,but am failed to find the correct syntax,
here is example of what i tried: 

libname tbconn teradata server=""10.11.18.15"" database=""yy"" user=x pw=xx;
execute tbconn.ProcedureName(date '2011-03-31');

and i also tried to use call command instead of excecute but it didnt work also.
any idea people.
",1,-1,-1.0,"I'm trying to execute Teradata stored procedure from SAS ,but am failed to find the correct syntax,
here is example of what i tried: 

libname tbconn teradata server=""10.11.18.15"" database=""yy"" user=x pw=xx;
execute tbconn.ProcedureName(date '2011-03-31');

and i also tried to use call command instead of excecute but it didnt work also.
any idea people.
",3
5,6524789,Connecting to Teradata via Perl,"Has anyone had any success with this? There aren't a great deal of references online and I've exhausted every relevant result on Google. Here's my script:

#!/usr/bin/perl

use DBI;
use DBD::ODBC;

$user = ""user"";
$pw = ""pw"";
$ip = ""192.168.1.0""

#DBI-&gt;trace(DBD::ODBC-&gt;parse_trace_flags('odbconnection'));

#my $connect_attrs = { PrintError =&gt; 0, RaiseError =&gt; 1, AutoCommit =&gt; 1 };

my $dbh = DBI-&gt;connect(""dbi:ODBC:$ip"", $user, $pw);


The error message:

DBI connect('192.168.1.0','user',...) failed: (no error string) at ./teradata.pl line 13


The two lines that are commented out are leftover from my previous fruitless attempts to connect to the DB.

UPDATE: Here are the previous efforts I made with the DBD module.

#!/usr/bin/perl

use DBI;

$user = ""xxxx"";
$pw = ""xxxx"";

my $dbh = DBI-&gt;connect(""dbi:Teradata:tdsn"", $user, $pw);


Error: 

DBI connect('tdsn','xxxx',...) failed: Unable to get host address. at ./teradata.pl line 12




Second Attempt:

#!/usr/bin/perl

use DBI;

$user = ""xxxx"";
$pw = ""xxxx"";

my $dbh = DBI-&gt;connect(""dbi:Teradata:192.168.1.0"", $user, $pw);


Error:

DBI connect('192.168.1.0','xxxx',...) failed: Deprecated logons are not allowed by administrator.  Upgrade client software to latest version. at ./teradata.pl line 12




Third...

#!/usr/bin/perl

use DBI;
use DBD::ODBC;

$user = ""xxxx"";
$pw = ""xxxx"";

my $dbh = DBI-&gt;connect(""dbi:ODBC:tdsn"", $user, $pw);


.odbc.ini

[ODBC]
InstallDir              = /usr/odbc
Trace           = 0
TraceDll                = /usr/odbc/lib/odbctrac.so
TraceFile               = /home/xxxx/odbctrace.log
TraceAutoStop           = 0

[ODBC Data Sources]
default         = tdata.so
testdsn         = tdata.so

[default]
Driver          = /usr/odbc/drivers/tdata.so
Description             = Default DSN is Teradata 5100
DBCName         = **ip_addr**
LastUser                = DLPStats
Username                = xxxx
Password                = xxxx
Database                = MSS_TEMP
DefaultDatabase         = MSS_TEMP

[tdsn]
Driver=/usr/odbc/drivers/tdata.so
Description=Teradata running Teradata V1R5.2
DBCName=**ip_addr**
LastUser=
Username=xxxx
Password=xxxx
Database=
DefaultDatabase=


Error:

DBI connect('tdsn','xxxx',...) failed: (no error string) at ./teradata.pl line 13




odbcinst.ini

[ODBC DRIVERS]
Teradata=Installed

[Teradata]
Driver=/usr/odbc/drivers/tdata.so
APILevel=CORE
ConnectFunctions=YYY
DriverODBCVer=3.51
SQLLevel=1

",-1,-1,-1.0,"Has anyone had any success with this? There aren't a great deal of references online and I've exhausted every relevant result on Google. Here's my script:

#!/usr/bin/perl

use DBI;
use DBD::ODBC;

$user = ""user"";
$pw = ""pw"";
$ip = ""192.168.1.0""

#DBI-&gt;trace(DBD::ODBC-&gt;parse_trace_flags('odbconnection'));

#my $connect_attrs = { PrintError =&gt; 0, RaiseError =&gt; 1, AutoCommit =&gt; 1 };

my $dbh = DBI-&gt;connect(""dbi:ODBC:$ip"", $user, $pw);


The error message:

DBI connect('192.168.1.0','user',...) failed: (no error string) at ./teradata.pl line 13


The two lines that are commented out are leftover from my previous fruitless attempts to connect to the DB.

UPDATE: Here are the previous efforts I made with the DBD module.

#!/usr/bin/perl

use DBI;

$user = ""xxxx"";
$pw = ""xxxx"";

my $dbh = DBI-&gt;connect(""dbi:Teradata:tdsn"", $user, $pw);


Error: 

DBI connect('tdsn','xxxx',...) failed: Unable to get host address. at ./teradata.pl line 12




Second Attempt:

#!/usr/bin/perl

use DBI;

$user = ""xxxx"";
$pw = ""xxxx"";

my $dbh = DBI-&gt;connect(""dbi:Teradata:192.168.1.0"", $user, $pw);


Error:

DBI connect('192.168.1.0','xxxx',...) failed: Deprecated logons are not allowed by administrator.  Upgrade client software to latest version. at ./teradata.pl line 12




Third...

#!/usr/bin/perl

use DBI;
use DBD::ODBC;

$user = ""xxxx"";
$pw = ""xxxx"";

my $dbh = DBI-&gt;connect(""dbi:ODBC:tdsn"", $user, $pw);


.odbc.ini

[ODBC]
InstallDir              = /usr/odbc
Trace           = 0
TraceDll                = /usr/odbc/lib/odbctrac.so
TraceFile               = /home/xxxx/odbctrace.log
TraceAutoStop           = 0

[ODBC Data Sources]
default         = tdata.so
testdsn         = tdata.so

[default]
Driver          = /usr/odbc/drivers/tdata.so
Description             = Default DSN is Teradata 5100
DBCName         = **ip_addr**
LastUser                = DLPStats
Username                = xxxx
Password                = xxxx
Database                = MSS_TEMP
DefaultDatabase         = MSS_TEMP

[tdsn]
Driver=/usr/odbc/drivers/tdata.so
Description=Teradata running Teradata V1R5.2
DBCName=**ip_addr**
LastUser=
Username=xxxx
Password=xxxx
Database=
DefaultDatabase=


Error:

DBI connect('tdsn','xxxx',...) failed: (no error string) at ./teradata.pl line 13




odbcinst.ini

[ODBC DRIVERS]
Teradata=Installed

[Teradata]
Driver=/usr/odbc/drivers/tdata.so
APILevel=CORE
ConnectFunctions=YYY
DriverODBCVer=3.51
SQLLevel=1

",1
6,8619322,Teradata: How can you add an identity column to an existing table?,"I need to add an identity column to an existing table with this SQL:

alter table app.employee 
add ID INTEGER GENERATED BY DEFAULT AS IDENTITY (START WITH 1 INCREMENT BY 1 MINVALUE 0 MAXVALUE 100000000 NO CYCLE)


I can create new tables with an identity column just fine, but the above script gives me the following error: 


  ALTER TABLE Failed. 3706: Syntaxt error: Cannot add new Identity
  Column option


Teradata database is severely lacking in online support and I've only come across one option which is to basically create a copy of the table with the identity column and do a mass insert from the old table to the new one and change all references to the new table.  I find it difficult to believe that this is the only possible way to do this.

What are my options here?
",-1,-1,-1.0,"I need to add an identity column to an existing table with this SQL:

alter table app.employee 
add ID INTEGER GENERATED BY DEFAULT AS IDENTITY (START WITH 1 INCREMENT BY 1 MINVALUE 0 MAXVALUE 100000000 NO CYCLE)


I can create new tables with an identity column just fine, but the above script gives me the following error: 


  ALTER TABLE Failed. 3706: Syntaxt error: Cannot add new Identity
  Column option


Teradata database is severely lacking in online support and I've only come across one option which is to basically create a copy of the table with the identity column and do a mass insert from the old table to the new one and change all references to the new table.  I find it difficult to believe that this is the only possible way to do this.

What are my options here?
",3
7,10909824,Error after upgrading from Teradata 12 to Teradata 13....terasso.dll,"We are currently upgrading our Teradata clients from v12 to v13. For that, the old installations of Teradata 12 were uninstalled from the system and TTU13 was installed. 

After installation when I try to add a ODBC connection using the new Teradata driver, it gives me the following error.


  Unknown error occurred in terasso library


Any help would be highly appreciated.
",-1,-1,-1.0,"We are currently upgrading our Teradata clients from v12 to v13. For that, the old installations of Teradata 12 were uninstalled from the system and TTU13 was installed. 

After installation when I try to add a ODBC connection using the new Teradata driver, it gives me the following error.


  Unknown error occurred in terasso library


Any help would be highly appreciated.
",1
8,10952238,Sample of data within groups - Teradata,"Found a similar question but without an answer that worked succuessfully.
I need to select a sample of 50 of each status type within a single table.
TABLE1
MEMBER  STATUS
1234       A
1324       A
3424       R
3432       S
3232       R
2783       A
2413       S
4144       R
2387       S

I tried:

SEL Member, status
FROM TABLE1 Qualify Row_Number ( ) OVER (PARTITION
BY status ORDER BY random (1,10000)) &lt;=50

As suggested in the previous question/answer but Teradata does not like RANDOM in an Aggregate or Ordered Analytical Function.
",-1,-1,-1.0,"Found a similar question but without an answer that worked succuessfully.
I need to select a sample of 50 of each status type within a single table.
TABLE1
MEMBER  STATUS
1234       A
1324       A
3424       R
3432       S
3232       R
2783       A
2413       S
4144       R
2387       S

I tried:

SEL Member, status
FROM TABLE1 Qualify Row_Number ( ) OVER (PARTITION
BY status ORDER BY random (1,10000)) &lt;=50

As suggested in the previous question/answer but Teradata does not like RANDOM in an Aggregate or Ordered Analytical Function.
",3
9,10987152,Teradata Update Table from Select Statement,"Sorry if the title is unclear. Basically I'm trying to select certain records from multiple tables then update a certain column value for the returned records.

T-SQL Implementation

    UPDATE 
        CUSTOMERS
    SET
        LIKES_US = 'Y'
    FROM
        RESTAURANT REST INNER JOIN CUSTOMERS CUST ON REST.LINK_ID = CUST.LINK_ID
        WHERE
        REST.REST_TYPE = 'Diner' AND CUST.LIKES_US IS NULL


Oracle

    UPDATE 
       (SELECT CUST.LIKES_US
        FROM CUSTOMERS CUST INNER JOIN RESTAURANT REST ON CUST.LINK_ID=REST.LINK_ID
        WHERE REST.REST_TYPE = 'Diner' AND CUST.LIKES_US IS NULL) NEW_CUST
    SET
        NEW_CUST.LIKES_US = 'Y';


I am tried doing the same thing in Teradata as I did in Oracle but I get the following error:

Executed as Single statement.  Failed [3707 : 42000] Syntax error, expected something like a name or a Unicode delimited identifier or an 'UDFCALLNAME' keyword between the 'UPDATE' keyword and '('. 
Elapsed time = 00:00:00.003 

STATEMENT 1: Unknown failed. 


I looked online for the solution but had no luck.
",-1,-1,-1.0,"Sorry if the title is unclear. Basically I'm trying to select certain records from multiple tables then update a certain column value for the returned records.

T-SQL Implementation

    UPDATE 
        CUSTOMERS
    SET
        LIKES_US = 'Y'
    FROM
        RESTAURANT REST INNER JOIN CUSTOMERS CUST ON REST.LINK_ID = CUST.LINK_ID
        WHERE
        REST.REST_TYPE = 'Diner' AND CUST.LIKES_US IS NULL


Oracle

    UPDATE 
       (SELECT CUST.LIKES_US
        FROM CUSTOMERS CUST INNER JOIN RESTAURANT REST ON CUST.LINK_ID=REST.LINK_ID
        WHERE REST.REST_TYPE = 'Diner' AND CUST.LIKES_US IS NULL) NEW_CUST
    SET
        NEW_CUST.LIKES_US = 'Y';


I am tried doing the same thing in Teradata as I did in Oracle but I get the following error:

Executed as Single statement.  Failed [3707 : 42000] Syntax error, expected something like a name or a Unicode delimited identifier or an 'UDFCALLNAME' keyword between the 'UPDATE' keyword and '('. 
Elapsed time = 00:00:00.003 

STATEMENT 1: Unknown failed. 


I looked online for the solution but had no luck.
",3
