Id,Title,Body,RatingsSentiCR,RatingsGPT35,RatingsGPTFineTuned
45015116,Apache Airflow Continous Integration Workflow and Dependency management,"I'm thinking of starting to use Apache Airflow for a project and am wondering how people manage continuous integration and dependencies with airflow. More specifically
Say I have the following set up

3 Airflow servers: dev staging and production.

I have two python DAG'S whose source code I want to keep in seperate repos.
The DAG's themselves are simple, basically just use a Python operator to call main(*args, **kwargs). However the actually code that's run by main is very large and stretches several files/modules.
Each python code base has different dependencies
for example,

Dag1 uses Python2.7 pandas==0.18.1, requests=2.13.0

Dag2 uses Python3.6 pandas==0.20.0 and Numba==0.27 as well as some cythonized code that needs to be compiled

How do I manage Airflow running these two Dag's with completely different dependencies?
Also, how do I manage the continuous integration of the code for both these Dags into each different Airflow enivornment (dev, staging, Prod)(do I just get jenkins or something to ssh to the airflow server and do something like git pull origin BRANCH)

Hopefully this question isn't too vague and people see the problems i'm having.
",1,1,-1.0
45450618,Connect to Teradata Using Airflow JDBC Connection,"I'm trying to execute a SqlSensor task in Airflow using a connection to Teradata database. The connection is configured as follow:



I have provide in particular 2 driver paths separated by "", "" but I am not sure if it's the proper way to do it?


/home/airflow/java_sample/tdgssconfig.jar
/home/airflow/java_sample/terajdbc4.jar


When the DAG executes, it triggers the error message

[2017-08-02 02:32:45,162] {models.py:1342} INFO - Executing &lt;Task(SqlSensor): check_running_batch&gt; on 2017-08-02 02:32:12
[2017-08-02 02:32:45,179] {base_hook.py:67} INFO - Using connection to: jdbc:teradata://myservername.mycompanyname.org/database=MYDBNAME,TMODE=ANSI,CHARSET=UTF8
[2017-08-02 02:32:45,313] {sensors.py:109} INFO - Poking: SELECT BATCH_KEY FROM MYDBNAME.AUDIT_BATCH WHERE BATCH_OWNER='ARO_TEST' AND AUDIT_STATUS_KEY=1;
[2017-08-02 02:32:45,316] {base_hook.py:67} INFO - Using connection to: jdbc:teradata://myservername.mycompanyname.org/database=MYDBNAME,TMODE=ANSI,CHARSET=UTF8
[2017-08-02 02:32:45,497] {models.py:1417} ERROR - java.lang.RuntimeException: Class com.teradata.jdbc.TeraDriver not found


What am I doing wrong?
",-1,-1,-1.0
48164745,AWS EC2 + Apache Airflow. How to connect to admin panel in browser?,"I installed airflow and started it on EC2 Ubuntu:

airflow webserver


But I cannot get access to admin panel in the browser. I tried:

ec2-XX-XXX-XXX-XX.eu-west-2.compute.amazonaws.com:8080


But I got message:

This site can’t be reached

",-1,-1,-1.0
48986732,Airflow: Creating a DAG in airflow via UI,"Airflow veterans please help,

I was looking for a cron replacement and came across apache airflow.

We have a setup where multiple users should be able to create their own DAGs and schedule their jobs. 

Our users are a mix of people who may not know how to write the DAG python file. Also, they may not have access to the server where airflow is running.

Is it possible to create an airflow DAG via UI. I could not find any reference to the same. All examples speak about creating a python file and uploading it to the $AIRFLOW_HOME/dag/ directory. Users will not have access to this directory.

Rundeck for example allows user to add workflows and task dependencies via UI. Is there a plugin/functionality similar to this in airflow.

PS: I really like the way airflow shows the dependency graphs and want to try it out. But If creating a DAG is so complicated, then it will be a major problem for lots of my end users. 
",-1,-1,-1.0
51558313,What is the difference between min_file_process_interval and dag_dir_list_interval in Apache Airflow 1.9.0?,"We are using Airflow v 1.9.0. We have 100+ dags and the instance is really slow. The scheduler is only launching some tasks.

In order to reduce the amount of CPU usage, we want to tweak some configuration parameters, namely: min_file_process_interval and dag_dir_list_interval. The documentation is not really clear about the difference between the two
",0,-1,-1.0
52183511,Apache airflow sends sla miss emails only to first person on the list,"I use Apache Airflow and I would like it to send email notifications on sla miss. I store email adresses as airflow variable, and I have a dag which one of its tasks sends Email using EmailOperator. 

And here comes the issue because however It sends emails when my send-mail task is run to all the recipients, It do sends sla miss notifaction only to the first adress on the list which in my example means test1@test.com. 

Is this some bug, or why it's not working ?

Here's my dag and airlfow variable: 
 

from airflow import DAG
from datetime import datetime, timedelta
from airflow.operators.email_operator import EmailOperator
from airflow.models import Variable
from airflow.operators.slack_operator import SlackAPIPostOperator

email = Variable.get(""test_recipients"")

args = {
    'owner': 'airflow'
    , 'depends_on_past': False
    , 'start_date': datetime(2018, 8, 20, 0, 0)
    , 'retries': 0
    , 'email': email
    , 'email_on_failure': True
    , 'email_on_retry': True
    , 'sla': timedelta(seconds=1)
}

dag = DAG('sla-email-test'
          , default_args=args
          , max_active_runs=1
          , schedule_interval=""@daily"")

....

t2 = EmailOperator(
    dag=dag,
    task_id=""send-email"",
    to=email,
    subject=""Testing"",
    html_content=""&lt;h3&gt;Welcome to Airflow&lt;/h3&gt;""
)

",-1,-1,-1.0
56707707,How to enable SSL on Airflow Webserver?,"I've been trying to enable HTTPS via SSL on my Apache Airflow frontend but the documentation is quite sparse and there aren't that many good examples on this online.

My instance of Airflow is currently running on a Red Hat Linux VM. I've tried generating a key/certificate, and pointing the configuration file to the respective paths, but it does not seem to work.

From the Airflow documentation, it seems like we are supposed to simply generate a path to the cert and key &amp; add a path to the SSL cert &amp; key in Airflow. I generated a .key and .csr file using Open SSL.

/usr/bin/openssl genrsa -rand /dev/urandom -out /etc/httpd/conf/server.key 2048

/usr/bin/openssl req -new -key /etc/httpd/conf/server.key -out /etc/httpd/conf/server.csr



I then updated the configuration file...

# Paths to the SSL certificate and key for the web server. When both are
# provided SSL will be enabled. This does not change the web server port.
web_server_ssl_cert = /etc/httpd/conf/server.csr
web_server_ssl_key = /etc/httpd/conf/server.key



I then reboot the webserver, and get the following error on the web page:

Forbidden

'[SSL] PEM lib (_ssl.c:3337)'


If anyone has any experience or pointers as to how they enabled SSL on their Airflow instance, I'd really appreciate it! I'm at a bit of a dead end right now and it doesn't seem like anyone else online has gotten a satisfactory answer.
",-1,-1,-1.0
57515434,Why do I get no such table error when installing Apache Airflow on Mac?,"It was so hard to put that right title. Ok, here it goes. I was following this tutorial to install Apache Airflow on my Mac (Mojave version) -

https://towardsdatascience.com/getting-started-with-apache-airflow-df1aa77d7b1b

Right at the first step after performing the pip install airflow task, when I run the airflow version command I am getting the following error and then the airflow version appears -


  ERROR - Failed on pre-execution callback using  Traceback (most recent call last): 
  File
  ""/Users/karthikv/anaconda3/lib/python3.7/site-packages/sqlalchemy/engine/base.py"",
  line 1244, in _execute_context
      cursor, statement, parameters, context   File ""/Users/karthikv/anaconda3/lib/python3.7/site-packages/sqlalchemy/engine/default.py"",
  line 552, in do_execute
      cursor.execute(statement, parameters) sqlite3.OperationalError: no such table: log


The above exception was the direct cause of the following exception:


  Traceback (most recent call last):   File
  ""/Users/karthikv/anaconda3/lib/python3.7/site-packages/airflow/utils/cli_action_loggers.py"",
  line 68, in on_pre_execution
      cb(**kwargs)   File ""/Users/karthikv/anaconda3/lib/python3.7/site-packages/airflow/utils/cli_action_loggers.py"",
  line 99, in default_action_log
      session.add(log)   File ""/Users/karthikv/anaconda3/lib/python3.7/contextlib.py"", line 119, in
  exit
      next(self.gen)   File ""/Users/karthikv/anaconda3/lib/python3.7/site-packages/airflow/utils/db.py"",
  line 45, in create_session
      session.commit()   File ""/Users/karthikv/anaconda3/lib/python3.7/site-packages/sqlalchemy/orm/session.py"",
  line 1026, in commit
      self.transaction.commit()   File ""/Users/karthikv/anaconda3/lib/python3.7/site-packages/sqlalchemy/orm/session.py"",
  line 493, in commit
      self._prepare_impl()   File ""/Users/karthikv/anaconda3/lib/python3.7/site-packages/sqlalchemy/orm/session.py"",
  line 472, in _prepare_impl
      self.session.flush()   File ""/Users/karthikv/anaconda3/lib/python3.7/site-packages/sqlalchemy/orm/session.py"",
  line 2451, in flush
      self._flush(objects)   File ""/Users/karthikv/anaconda3/lib/python3.7/site-packages/sqlalchemy/orm/session.py"",
  line 2589, in _flush
      transaction.rollback(_capture_exception=True)   File ""/Users/karthikv/anaconda3/lib/python3.7/site-packages/sqlalchemy/util/langhelpers.py"",
  line 68, in exit
      compat.reraise(exc_type, exc_value, exc_tb)   File ""/Users/karthikv/anaconda3/lib/python3.7/site-packages/sqlalchemy/util/compat.py"",
  line 129, in reraise
      raise value   File ""/Users/karthikv/anaconda3/lib/python3.7/site-packages/sqlalchemy/orm/session.py"",
  line 2549, in _flush
      flush_context.execute()   File ""/Users/karthikv/anaconda3/lib/python3.7/site-packages/sqlalchemy/orm/unitofwork.py"",
  line 422, in execute
      rec.execute(self)   File ""/Users/karthikv/anaconda3/lib/python3.7/site-packages/sqlalchemy/orm/unitofwork.py"",
  line 589, in execute
      uow,   File ""/Users/karthikv/anaconda3/lib/python3.7/site-packages/sqlalchemy/orm/persistence.py"",
  line 245, in save_obj
      insert,   File ""/Users/karthikv/anaconda3/lib/python3.7/site-packages/sqlalchemy/orm/persistence.py"",
  line 1120, in _emit_insert_statements
      statement, params   File ""/Users/karthikv/anaconda3/lib/python3.7/site-packages/sqlalchemy/engine/base.py"",
  line 988, in execute
      return meth(self, multiparams, params)   File ""/Users/karthikv/anaconda3/lib/python3.7/site-packages/sqlalchemy/sql/elements.py"",
  line 287, in _execute_on_connection
      return connection._execute_clauseelement(self, multiparams, params)   File
  ""/Users/karthikv/anaconda3/lib/python3.7/site-packages/sqlalchemy/engine/base.py"",
  line 1107, in _execute_clauseelement
      distilled_params,   File ""/Users/karthikv/anaconda3/lib/python3.7/site-packages/sqlalchemy/engine/base.py"",
  line 1248, in _execute_context
      e, statement, parameters, cursor, context   File ""/Users/karthikv/anaconda3/lib/python3.7/site-packages/sqlalchemy/engine/base.py"",
  line 1466, in _handle_dbapi_exception
      util.raise_from_cause(sqlalchemy_exception, exc_info)   File ""/Users/karthikv/anaconda3/lib/python3.7/site-packages/sqlalchemy/util/compat.py"",
  line 383, in raise_from_cause
      reraise(type(exception), exception, tb=exc_tb, cause=cause)   File ""/Users/karthikv/anaconda3/lib/python3.7/site-packages/sqlalchemy/util/compat.py"",
  line 128, in reraise
      raise value.with_traceback(tb)   File ""/Users/karthikv/anaconda3/lib/python3.7/site-packages/sqlalchemy/engine/base.py"",
  line 1244, in _execute_context
      cursor, statement, parameters, context   File ""/Users/karthikv/anaconda3/lib/python3.7/site-packages/sqlalchemy/engine/default.py"",
  line 552, in do_execute
      cursor.execute(statement, parameters) sqlalchemy.exc.OperationalError: (sqlite3.OperationalError) no such
  table: log [SQL: INSERT INTO log (dttm, dag_id, task_id, event,
  execution_date, owner, extra) VALUES (?, ?, ?, ?, ?, ?, ?)]
  [parameters: ('2019-08-12 20:50:24.960006', None, None, 'cli_version',
  None, 'karthikv', '{""host_name"": ""192-168-1-6.tpgi.com.au"",
  ""full_command"": ""[\'/Users/karthikv/anaconda3/bin/airflow\',
  \'version\']""}')] 


(Background on this error at: http://sqlalche.me/e/e3q8)

Can someone help me what this error means and how to solve it? I understand from the instructions that by default SQLLite db gets installed and a single DAG restrictions would be in place before we get into setting up backend database say PostgreSQL.

I tried to uninstall using pip uninstall airflow to perform clean installation again. I get the following error -


  WARNING: Skipping airflow as it is not installed.


Kindly help me in solving the issue (or) pointing me to resources where I can do further reading.
",-1,-1,-1.0
57583175,Why are my custom operators not being imported into my DAG (Airflow)?,"I am creating an ETL pipeline using Apache Airflow and I am trying to create generalized custom operators. There seems to be no problem with the operators but they are not being imported into my DAG python file.

This is my directory structure.

my_project\
  .env
  Pipfile
  Pipfile.lock
  .gitignore
  .venv\
  airflow\
    dags\
    logs\
    plugins\
      __init__.py
      helpers\
      operators\
        __init__.py
        data_quality.py
        load_fact.py
        load_dimension.py
        stage_redshift


This is what is present in the __init__.py file under plugins folder.

from __future__ import division, absolute_import, print_function

from airflow.plugins_manager import AirflowPlugin

import airflow.plugins.operators as operators
import airflow.plugins.helpers as helpers

# Defining the plugin class
class SparkifyPlugin(AirflowPlugin):
    name = ""sparkify_plugin""
    operators = [
        operators.StageToRedshiftOperator,
        operators.LoadFactOperator,
        operators.LoadDimensionOperator,
        operators.DataQualityOperator
    ]
    helpers = [
        helpers.SqlQueries
    ]


I'm importing these operators into my DAG file as following

from airflow.operators.sparkify_plugin import (StageToRedshiftOperator,
                               LoadFactOperator,
                               LoadDimensionOperator,
                               DataQualityOperator)


I am getting an error as follows

ERROR - Failed to import plugin /Users/user_name/Documents/My_Mac/Projects/sparkify_etl_sql_to_sql/airflow/plugins/operators/stage_redshift.py


Can you help me understand why this is happening?
",-1,-1,-1.0
57930048,Apache Airflow DAG doesn't call on_success_callback and on_failure_callback,"I want to customize my DAGs to send the email when it's failed or succeeded. I'm trying to use on_success_callback and on_failure_callback in DAG constructor, but it doesn't work for DAG. In the same time it works for DummyOperator that I put inside my DAG.

from airflow import DAG
from airflow.operators.dummy_operator import DummyOperator
from airflow.operators.python_operator import PythonOperator
from datetime import datetime

from utils import get_report_operator, DagStatus


TEST_DAG_NAME='test_dag'
TEST_DAG_REPORT_SUBSCRIBERS = ['MY_EMAIL']

def send_success_report(context):
    subject = 'Airflow report: {0} run success'.format(TEST_DAG_NAME)
    email_operator = get_report_operator(subject, TEST_DAG_REPORT_SUBSCRIBERS, TEST_DAG_NAME, DagStatus.SUCCESS)
    email_operator.execute(context)

def send_failed_report(context):
    subject = 'Airflow report: {0} run failed'.format(TEST_DAG_NAME)
    email_operator = get_report_operator(subject, TEST_DAG_REPORT_SUBSCRIBERS, TEST_DAG_NAME, DagStatus.FAILED)
    email_operator.execute(context)


dag = DAG(dag_id=TEST_DAG_NAME,
          schedule_interval=None,
          start_date=datetime(2019,6,6),
          on_success_callback=send_success_report,
          on_failure_callback=send_failed_report)

DummyOperator(task_id='task',
              on_success_callback=send_success_report,
              on_failure_callback=send_failed_report,
              dag = dag)


I've also implemented some add-in over the Airflow EmailOperator for send report. I don't thing that error in this part, but still.

class DagStatus(Enum):
    SUCCESS = 0
    FAILED = 1


def get_report_operator(sbjct, to_lst, dag_id, dag_status):
    status = 'SUCCESS' if dag_status == DagStatus.SUCCESS else 'FAILED'
    status_color = '#87C540' if dag_status == DagStatus.SUCCESS else '#FF1717'
    with open(os.path.join(os.path.dirname(__file__), 'airflow_report.html'), 'r', encoding='utf-8') as report_file:
        report_mask = report_file.read()
    report_text = report_mask.format(dag_id, status, status_color)
    tmp_dag = DAG(dag_id='tmp_dag', start_date=datetime(year=2019, month=9, day=12), schedule_interval=None)
    return EmailOperator(task_id='send_email',
                    to=to_lst,
                    subject=sbjct,
                    html_content=report_text.encode('utf-8'),
                    dag = tmp_dag)


What I do wrong?
",-1,-1,-1.0
