Id,Title,Body,RatingsSentiCR,RatingsGPT35,RatingsGPTFineTuned
15466642,"What are the limiting factors of Kepler, comparing to Fermi?","It is not a strictly programming question, but knowing hardware is the critical part of programming.

So I start this thread, hope people here can share their experience in  programming on Kepler (GK10X or GK110).

First I start mine:

I am doing some programming on GK110 at the moment, for some applications, GK110 is significantly faster than a Fermi, close to its theoretical peak (e.g. 2.5-3X faster). But for others, it isn't, (e.g. only ~ 50%-60% faster).

Correct me if I am wrong, but it seems to me, the main performance bottleneck of Kepler is resource pressure is very high here:

On a per-SM level, Fermi actually have far more resources comparing to GK110, on each SM, Fermi only has one SIMT unit, whilst Kepler has 6.

Yet on each SM,  Fermi has 32K registers file, a maximum of 1536 active threads, whilst on each SM of Kepler, there are only 33% more active threads, 100% more registers, with 800% insturction-issue units, and same amount of L1 cache.

The latencies regarding memory and computation are about the same in absolute terms (half in terms of GPU cycles).

So resource-pressure is much higher on GK110, comparing to GF110.

With 800% of instruction-issue units, it seems that Nvidia want to use more aggressive TLP and ILP to hide latency on Kepler, but it is certainly not as flexible, since L1 cache is the same, and active threads is only increased by 33% instead of 500% like its SIMT units.

So, to utilize maximum efficiency of Kepler, it is much harder,  first code has to contain significantly more ILP yet take significantly less shared-memory to take the advantage of a massive instruction-issue unit of Kepler, secondly, on a per-warp level, workflow has to be very computationally intensive such that Kepler schedule don't need to switch a lot of warps to hide latency (and it certainly don't have a lot of available warps to chose from to begin with).
",1,-1,-1.0
17083811,Eclipse - Glassfish 4 Debugging startup timeout,"Glassfish 4.0 final gives a timeout everytime I try to start it in Debug mode.
The normal run on server (from Eclipse) does work without a timeout.
I've tried running Glassfish 4.0 from Eclipse Juno and Eclipse Kepler, both have the correct port configuration for debugging (9009), both are failing to start Glassfish in debug.

Is this a known problem? How do I fix this?
",-1,-1,-1.0
17336260,Eclipse Kepler - Glassfish Plugin - unable to start GF 3.1,"I'm using Eclipse Kepler WTP + the Glassfish Kepler plugins.

Problem is I'm not able to start my locally installed Glassfish any more with this configuration.

After run the launch configuration the progress bar is at 69% and does not continue. There is nothing in the logs etc. I also tried using a fresh workspace etc. but no success.

The Glassfish version I'm running is 3.1.2. With Eclipse Juno and the corresponding Glassfish plugins everything works just fine.

EDIT Seems to be an issue with the already existing domain inside GF. It is possible to use the plugin when creating a new domain.
",-1,-1,-1.0
17338212,Eclipse Kepler not connecting to internet via proxy,"I have managed to get Eclipse Juno connecting to the internet. For this to accomplish, there are many posts here on stackoverflow. here is one of this links:
Eclipse not connecting to internet via proxy

Today i installed Eclipse Kepler on my Windows7 box. But accessing the eclipse marketplace or installing new software does not work.
I am using exactly the same proxy configuration as i used for Eclipse Juno. Juno can access the marketplace but Kepler does not.
The proxy uses NTLM Authentification.
Any one here with similar problem?

No success til now. I am still wondering why Juno can connect whereas Kepler can not:-(
",-1,-1,-1.0
17347615,"IBM Worklight 6.0 - Installation fails on Eclipse 4.3 ""Kepler""","I'm getting the following problem while trying to install Worklight 6 into Eclipse 4.3 ""Kepler"": 

Cannot complete the install because one or more required items could not be found.
  Software being installed: IBM jQuery Mobile Tools 6.0.0.201306140658 (com.ibm.webtools.jquery.tools.feature.feature.group 6.0.0.201306140658)
  Missing requirement: IBM Web Editor Common 1.2.0.v20130514_1852 (com.ibm.etools.webtools.webedit.common 1.2.0.v20130514_1852) requires 'bundle com.ibm.icu [4.2.1,5.0.0)' but it could not be found
  Cannot satisfy dependency:
    From: IBM Worklight Studio 6.0.0.201306140657 (com.ibm.imp.tools.feature.feature.group 6.0.0.201306140657)
    To: com.ibm.imp.webtools.core.feature.feature.group 1.0.0
  Cannot satisfy dependency:
    From: Web Tools Core 1.2.0.v20130514_1852 (com.ibm.imp.webtools.core.feature.feature.group 1.2.0.v20130514_1852)
    To: com.ibm.etools.webtools.webedit.common [1.2.0.v20130514_1852]
  Cannot satisfy dependency:
    From: IBM jQuery Mobile Tools 6.0.0.201306140658 (com.ibm.webtools.jquery.tools.feature.feature.group 6.0.0.201306140658)
    To: com.ibm.imp.tools.feature.feature.group 6.0.0


I've tried both the marketplace method and installing from a local archive produces the same error. Sounds like a dependency issue but I'm not clever enough to workout what I'm missing.
",-1,-1,-1.0
17457069,How to enable C++11 in Eclipse Juno/Kepler/Luna CDT?,"EDIT: It turns out this really isn't specific to Eclipse Kepler. I had to use the same process for Eclipse Juno. The problem was that there seem to be missing steps in other posts answering this same question.

I'm using Eclipse Kepler for C++ and I'm trying to use C++11 and getting errors. When I compile I get the error

error: range-based-for loops are not allowed in C++98 mode

I've followed the instructions from the post

Eclipse CDT C++11/C++0x support

and the solution given for Eclipse Juno isn't working. 

Different comments have suggested restarting eclipse and cleaning and rebuilding. That hasn't made a difference.
",-1,-1,-1.0
17519365,Referenced file contains errors (jar:file:/J:/eclipse/plugins/org.eclipse.jst.standard.schemas_1.2.1.v201302050732.jar!/dtdsAndSchemas/javaee_6.xsd),"I am using eclipse Kepler I imported some java projects into workspace, and all web.xml files are showing error like this 


  Referenced file contains errors
  (jar:file:/J:/eclipse/plugins/org.eclipse.jst.standard.schemas_1.2.1.v201302050732.jar!   /dtdsAndSchemas/javaee_6.xsd)
  My web.xml 


&lt;?xml version=""1.0"" encoding=""ISO-8859-1""?&gt;

&lt;web-app xmlns=""http://java.sun.com/xml/ns/javaee""
xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""
xsi:schemaLocation=""http://java.sun.com/xml/ns/javaee
                  http://java.sun.com/xml/ns/javaee/web-app_3_0.xsd""
version=""3.0""
metadata-complete=""true""&gt;  


is it the problem with jar file?
",-1,-1,-1.0
17539218,eclipse - cannot get project export/dependencies working,"Ok. I am using eclipse kepler.

Ihave an eclipse project called 'afd-core'. It has some classes, and a directory etc/hibernate containing hibernate config - lookup.hbm.xml.

I have another project afd-public. It is a webapp, and needs the stuff in afd-core on it's classpath.

And I think I have tried everything.

afd-public->project referencers: added add-core as a referenced project
afd-public->java build path->projects: added afd-core
afd-public->java build path->order and export: marked afd-core as exported
afd-core->java build path->added etc/hibernate as a classpath entry
afd-core->order and export->marked etc/hibernate as exported

Didn't work. When I run add-public as a web app, complains that it cant find the hibernate config.

So I made etc/hibernate a source rather than a class direcrory. Still didn't work.

Explicitly added add-core/etc/hibernate as a class directory in the add-public project. Still didnt work. Marked those class drectories as 'exported'. Still didn't work.

Manually copied the hibernate config into afd-public/webapp/WEB-INF/classes . Ok, it finds the hibernate config, but it does not find the core class files.

In other words, the afd-public webapp is not including dependencies from afd-core AT ALL, not in any way, shape, or form into the webapp that it deploys locally to tomcat. Whether or not I mark them as exported from afd-core. Whether or not I include the project or the directories explicitly. Whether or not I do or dont export them from the afd-public webapp.

Nothing. nada. Won't go.

Help?
",1,-1,-1.0
17734967,Installing JSDT jQuery plugin in Eclipse Kepler 4.3,"I've downloaded Eclipse Kepler 4.3 from official site in here.

And installed PDT plugin successfully (Eclipse -&gt; Help -&gt; Install new software).

The problem :

I need to install JSDT jQuery plugin. 

I have tried :

Help -&gt; Eclipse MarketPlace -&gt; JSDT jQuery (Install)


But get me following error :


  No repository found at
  https://svn.codespot.com/a/eclipselabs.org/jsdt-jquery/updatesite


Thanks in advance.
",-1,-1,-1.0
17737939,"Maven project on new Kepler workspace fails with ""Could not initialize class AspectJExpressionPointcut""","I have had a working Indigo workspace for quite a while, with many projects checked out from SVN.  Mostly Ant projects, but a few critical Maven projects.

I'm struggling to get a Kepler workspace working with the same projects.  I've essentially given up on the pure STS installation, as that gives me (different) errors in both Maven projects.  I filed both Eclipse and STS bugs, and they both say it's the others problem, so I've given up on that path for now.

I'm now trying to start with pure Eclipse and install the Spring pieces I want.  I thought I had all the plugins installed that I need, and I'm not getting the error dialogs that I was getting with the STS installation, but I'm getting a build error I can't handle.  It's saying this:

Build path is incomplete. Cannot find class file for Could not initialize class org.springframework.ide.eclipse.springframework.aop.aspectj.AspectJExpressionPointcut


I suppose I'm missing some plugin, but I don't know what it would be.

I even did a somewhat exhaustive search for that class (""AspectJExpressionPointcut"") in my workspace and Kepler distro, and it can't find it, unless it's in a jar file that's inside a jar file (my search just looks for classes in jar files in a directory tree).  I see references to it on the internet, but I can't get much out of those references.
",-1,-1,-1.0
