Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.41030574872762104
75% Corpus,2,0.01,0.31,0.4087637687753124
75% Corpus,2,0.01,0.61,0.37628058370819595
75% Corpus,2,0.01,0.9099999999999999,0.3840400461417342
75% Corpus,2,0.01,symmetric,0.4087637687753124
75% Corpus,2,0.31,0.01,0.40876376877531234
75% Corpus,2,0.31,0.31,0.4087637687753124
75% Corpus,2,0.31,0.61,0.4087637687753124
75% Corpus,2,0.31,0.9099999999999999,0.3858793316212048
75% Corpus,2,0.31,symmetric,0.4087637687753124
75% Corpus,2,0.61,0.01,0.40876376877531234
75% Corpus,2,0.61,0.31,0.4087637687753124
75% Corpus,2,0.61,0.61,0.4087637687753124
75% Corpus,2,0.61,0.9099999999999999,0.4023281965586494
75% Corpus,2,0.61,symmetric,0.4087637687753124
75% Corpus,2,0.9099999999999999,0.01,0.3978410964017598
75% Corpus,2,0.9099999999999999,0.31,0.4087637687753124
75% Corpus,2,0.9099999999999999,0.61,0.40876376877531234
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.4023281965586494
75% Corpus,2,0.9099999999999999,symmetric,0.40876376877531234
75% Corpus,2,symmetric,0.01,0.40876376877531234
75% Corpus,2,symmetric,0.31,0.4087637687753124
75% Corpus,2,symmetric,0.61,0.4087637687753124
75% Corpus,2,symmetric,0.9099999999999999,0.38587933162120475
75% Corpus,2,symmetric,symmetric,0.4087637687753124
75% Corpus,2,asymmetric,0.01,0.4087637687753124
75% Corpus,2,asymmetric,0.31,0.40085322387438194
75% Corpus,2,asymmetric,0.61,0.40085322387438194
75% Corpus,2,asymmetric,0.9099999999999999,0.40085322387438194
75% Corpus,2,asymmetric,symmetric,0.40085322387438194
75% Corpus,3,0.01,0.01,0.35507145785034294
75% Corpus,3,0.01,0.31,0.39044564325189174
75% Corpus,3,0.01,0.61,0.3838419253143613
75% Corpus,3,0.01,0.9099999999999999,0.4093829787613001
75% Corpus,3,0.01,symmetric,0.39044564325189174
75% Corpus,3,0.31,0.01,0.35255096807572056
75% Corpus,3,0.31,0.31,0.3866232309410355
75% Corpus,3,0.31,0.61,0.3830875919687287
