Id,Title,Body,RatingsSentiCR,RatingsGPT35,RatingsGPTFineTuned
18556005,testswarm cleanup action doesn't seem to work correctly,"I have around 5 qunit tests which have timed out according to testswarm. I tried to reset those tests using cleanp action.
     api.php?action=cleanup
It didn't work. The response from the action is
{""cleanup"":{""resetTimedoutRuns"":0}}

What can be the issue here ?
",-1,-1,-1.0
34111372,"docker swarm creation fails with ""remaining connection slots are reserved...""","Following the beginner's docs for OSX:

# Terminal started via Docker Quickstart Terminal app.
$ docker-machine create -d virtualbox local
$ eval ""$(docker-machine env local)""
$ docker run swarm create


Results in pq: remaining connection slots are reserved for non-replication superuser connections.

$ docker --version
# Docker version 1.9.1, build a34a1d5
$ docker run swarm --version
# swarm version 1.0.0 (087e245)

# Virtualbox version 5.0.10 r104061
# OSX 10.11.1 (15B42)


Any ideas what I'm doing wrong or how the docs need to be updated?
",0,-1,-1.0
34210848,Docker-compose and Docker-swarm,"I'm using docker-compose and docker swarm. I have created a docker-mgt server from which I did a docker-machine to setup a swarm cluster consisting of a swarm master and two swarm-agents. 

I have created an Express app that gets started in a container and it seems the swarm master decided to have it on agent1. Then I have also a Wordpress site (example from the docker compose site) that I'm running with docker-compose on Docker Swarm.

cloud-user@docker-mgt:~/wordpress$ docker-compose up
wordpress_db_1 is up-to-date
Creating wordpress_web_1
ERROR: Error: image library/wordpress_web:latest not found


The following images are available:

cloud-user@docker-mgt:~/wordpress$ docker images
REPOSITORY          TAG                 IMAGE ID            CREATED             VIRTUAL SIZE
orchardup/php5      latest              c385b8a81cee        18 months ago       330.1 MB
swarm               latest              a9975e2cc0a3        19 hours ago        17.15 MB
orchardup/mysql     latest              5a45a5a953bb        16 months ago       292.4 MB
wordpress_web       latest              e484f88dc8c8        11 minutes ago      350.9 MB
node-ip             latest              d177af00338b        39 minutes ago      549.5 MB
centos              centos6             1a895dd3954a        8 weeks ago         190.6 MB


So it does have the wordpress_web:latest available and still it complains.

When running this wordpress app on a seperate docker host (not part of the swarm cluster) it runs just fine. To exclude a mistake on the wordpress app, I also tried another complete different app consisting of two containers (with docker-compose) and it is exactly the same issue.

I'm beginning to think that docker compose and swarm can not work together smoothly but that's hard to believe of course.
",-1,-1,-1.0
36642617,How to run docker-compose against docker swarm (without docker-machine),"I have managed to manually set up a docker swarm (e.g.: without using docker-machine) following the official tutorial

I am able to run containers on the swarm successfully using docker engine:

docker -H :4000 run redis


I would like to use docker-compose to run containers on the swarm, however I cannot seem to get this right. 

The first thing I had to work out was how to get compose to talk on port :4000. I achieved this by specifying: export DOCKER_HOST="":4000"".

However, now, when I run docker-compose I get the following error:

$docker-compose up
Creating network ""root_default"" with the default driver
ERROR: Error response from daemon: failed to parse pool request for address space ""GlobalDefault"" pool """" subpool """": cannot find address space GlobalDefault (most likely the backing datastore is not configured)


It feels like this issue has to do with either TLS or network, but I'm pretty stumped as to how to fix it, or even how to go about investigating it further. 

I'm using Docker engine: 1.10, Compose 1.6. Swarm:latest

In case it's useful, here is my docker info:

$docker -H :4000 info
Containers: 7
 Running: 5
 Paused: 0
 Stopped: 2
Images: 7
Server Version: swarm/1.2.0
Role: primary
Strategy: spread
Filters: health, port, dependency, affinity, constraint
Nodes: 2
 node02: 10.129.5.211:2375
  └ Status: Healthy
  └ Containers: 3
  └ Reserved CPUs: 0 / 2
  └ Reserved Memory: 0 B / 2.053 GiB
  └ Labels: executiondriver=, kernelversion=3.13.0-79-generic, operatingsystem=Ubuntu 14.04.4 LTS, storagedriver=aufs
  └ Error: (none)
  └ UpdatedAt: 2016-04-15T08:28:20Z
  └ ServerVersion: 1.11.0
 node03: 10.129.6.21:2375
  └ Status: Healthy
  └ Containers: 4
  └ Reserved CPUs: 0 / 2
  └ Reserved Memory: 0 B / 2.053 GiB
  └ Labels: executiondriver=, kernelversion=3.13.0-79-generic, operatingsystem=Ubuntu 14.04.4 LTS, storagedriver=aufs
  └ Error: (none)
  └ UpdatedAt: 2016-04-15T08:28:43Z
  └ ServerVersion: 1.11.0
Plugins: 
 Volume: 
 Network: 
Kernel Version: 3.13.0-79-generic
Operating System: linux
Architecture: amd64
CPUs: 4
Total Memory: 4.105 GiB
Name: b156985db557
Docker Root Dir: 
Debug mode (client): false
Debug mode (server): false
WARNING: No kernel memory limit support

",-1,-1,-1.0
38602903,docker swarm init could not choose an IP address error,"Experimenting with Docker Swarm with Docker Desktop for Mac. I tried this:

docker-machine create -d virtualbox node-1
docker-machine create -d virtualbox node-2
docker-machine create -d virtualbox node-3

eval $(docker-machine env node-1)

docker swarm init \
    --secret my-secret \
    --auto-accept worker \
    --listen-addr $(docker-machine ip node-1):2377


The last command (docker swarm init) returns this error:


  Error response from daemon: could not choose an IP address to
  advertise since this system has multiple addresses


I have no idea what's going on. Anyone have any idea how to debug?
",-1,-1,-1.0
38725808,Running custom script after azure container service deployment using swarm,"I want to run a custom script after a swarm cluster is ready. I'm using following template to create azure container service (swarm based). https://github.com/Azure/azure-quickstart-templates/tree/875d139c16c9c023dce519e6dd48c707e3473346/101-acs-swarm

I couldn't find a way to run custom script automatically after the deployment finishes.
",-1,-1,-1.0
38882898,docker container vs swarm communication issue,"I have several docker containers that will run together just fine on a single machine.  One binds to port 80, another connects to a neo4j container that is also spun up.  The others are for inter-container work (I didn't build them, but I have to host them).  I have a docker swarm setup with docker engine 1.12 and a progrium/consul cluster across the 3 machines in the swarm.  The consul cluster can see all of the containers, and they work when using just run -d (on each single host as mentioned).  As soon as I put any of them out as a ""service"", they can no longer communicate.  I've tried creating a new overlay network but it had no impact.  

I also tried running the one container that binds to port 80 as an individual container on all of the systems where the others are running as services.  Docker inspect shows them all on the same 172.17.0.0 network.

I could really use some ideas on what to look at.  Thanks.



First, I load neo4j with:

docker run -d -p 192.168.2.201:7474:7474 \
  --volume=$HOME/neo4j/data:/data neo4j:3.0


Then, the subsequent containers are joining a consul cluster on the docker swarm using:

docker run -d -e ""CONSULJOIN=172.17.0.2"" -e ""NEO4J_HOST=172.17.0.4"" \
  -e ""NEO4J_PASSWORD=$NEO4J_PASS"" container


When instead of docker run -d I use docker create service, the expectation is that if I replace the neo4j IP with 192.168.2.201, it should work.

I also tried using an overlay network:

docker network create -d overlay my-net


And included the --net=my-net in the docker service command.  I don't know when I'll have time to debug further, but if this is enough to at least tell me what I did wrong that would be great.  If not, I'll try to get some more info as time permits.
",-1,-1,-1.0
40511376,"Python, Seaborn: Logarithmic Swarmplot has unexpected gaps in the swarm","Let's look at a swarmplot, made with Python 3.5 and Seaborn on some data (which is stored in a pandas dataframe df with column lables stored in another class. This does not matter for now, just look at the plot):
ax = sns.swarmplot(x=self.dte.label_temperature, y=self.dte.label_current, hue=self.dte.label_voltage, data = df)


Now the data is more readable if plotted in log scale on the y-axis because it goes over some decades.
So let's change the scaling to logarithmic:
ax.set_yscale(&quot;log&quot;)
ax.set_ylim(bottom = 5*10**-10)


Well I have a problem with the gaps in the swarms. I guess they are there because they have been there when the plot is created with a linear axis in mind and the dots should not overlap there. But now they look kind of strange and there is enough space to from 4 equal looking swarms.
My question is: How can I force seaborn to recalculate the position of the dots to create better looking swarms?
",-1,-1,-1.0
41462177,Can't use keystoreRelativeTo path in ManagementFraction of Wildfly swarm,"I have problem with keystoreRelativeTo option in ManagementFraction of Wildfly swarm app.

Here is the code:

public static void main(String[] args) throws Exception {       
        Swarm swarm = new Swarm(args);
        Archive&lt;JAXRSArchive&gt; archive = createJaxRsArchive();       
        swarm
            .fraction(createManagementFraction())
            .fraction(createUndertowFraction())
            .fraction(createSecurityFraction())
            .start()
            .deploy(archive);
    }


ManagementFraction managementFraction = new ManagementFraction().securityRealm(""UndertowRealm"", (realm) -&gt; {
    realm.truststoreAuthentication((authn) -&gt; { authn
        //.keystoreRelativeTo(""/certs"")
        .keystorePath(""sometruststore.jks"")             
        .keystorePassword(""pass"");
    });
    realm.sslServerIdentity(new SslServerIdentity&lt;&gt;()
        //.keystoreRelativeTo(""/certs"")
        .keystorePath(""somekeystore.jks"")           
        .keystorePassword(""pass"")
        .alias(""x"")
        .keyPassword(""pass"")
            );
});     
return managementFraction;


}

Without "".keystoreRelativeTo(""/certs"")"" it works fine as long as *.jks files are in projects root dir. With option "".keystoreRelativeTo(""/certs"")"" I would expect so it checks for jks files inside projectRootDir/certs, but it's not. I've tried also with an absolute path for example C:/certs but doesn't work as well. 
I've got error:


  2017-01-03 21:56:26,638 ERROR [org.jboss.as.controller.management-operation] (Controller Boot Thread) WFLYCTL0013: Operation (""add"") failed - address: ([
      (""subsystem"" => ""undertow""),
      (""server"" => ""default-server""),
      (""https-listener"" => ""https"")
  ]) - failure description: {
      ""WFLYCTL0180: Services with missing/unavailable dependencies"" => undefined,
      ""WFLYCTL0288: One or more services were unable to start due to one or more indirect dependencies not being available."" => {
          ""Services that were unable to start:"" => [""jboss.undertow.listener.https""],
          ""Services that may be the cause:"" => [""jboss.server.path./certs/""]
      }
  }
  
  2017-01-03 21:56:26,639 ERROR [org.jboss.as.controller.management-operation] (Controller Boot Thread) WFLYCTL0013: Operation (""add"") failed - address: ([
      (""core-service"" => ""management""),
      (""security-realm"" => ""UndertowRealm"") ]) - failure description: {
      ""WFLYCTL0412: Required services that are not installed:"" => [""jboss.server.path./certs/""],
      ""WFLYCTL0180: Services with missing/unavailable dependencies"" => [
          ""jboss.server.controller.management.security_realm.UndertowRealm.trust-manager is missing [jboss.server.path./certs/]"",
          ""jboss.server.controller.management.security_realm.UndertowRealm.key-manager is missing [jboss.server.path./certs/]""
      ] }


I dont know what ""jboss.server.path"" is, I thought it is some jboss properties but can't find nor set it. I've tried also with jboss.server.config.dir parameter (setting it before to /certs/ or C:/certs/):
 .keystoreRelativeTo(""jboss.server.config.dir"")

but error message is the same: (...) ""Services that were unable to start:"" => [""jboss.undertow.listener.https""],
        ""Services that may be the cause:"" => [""jboss.server.path.\""jboss.server.config.dir\""""] (...)

Is it some bug? Any help would be appreciated.
",-1,-1,-1.0
40721242,"Seaborn's boxplot+swarmplot: different color for x, different symbol for hues","I'm trying to generate a boxplot using seaborn with a different x groups, and additional hues. See this code:
tips = sns.load_dataset(&quot;tips&quot;)

sns.stripplot(x=&quot;day&quot;, y=&quot;total_bill&quot;, hue=&quot;smoker&quot;,
              data=tips, jitter=True,
              palette=&quot;Set2&quot;, dodge=True,linewidth=1,edgecolor='gray')

sns.boxplot(x=&quot;day&quot;, y=&quot;total_bill&quot;, hue=&quot;smoker&quot;,
            data=tips,palette=&quot;Set2&quot;,fliersize=0)


I would like to have each x boxplots (in this example, each day) be a different color, while each hue (in this case, smoker/non-smoker) to be represented with a different symbol on the swarmplot.
I've tried to play with the palette argument, but did not get what I wanted. I also tried to play with the artists directly, but changing the facecolor of the boxplot also changes the edgecolor for some reason, and I don't know how to change the symbols on the swarmplot anyway.
",-1,1,-1.0
